year;exchrate
1970;0.5334954009626
1971;0.531933967745777
1972;0.491330095605119
1973;0.437185422321498
1974;0.435376529903476
1975;0.425816296116076
1976;0.467082148889144
1977;0.469310380421387
1978;0.503449626597452
1979;0.507682021724636
1980;0.48141627534218
1981;0.515499504531715
1982;0.566954226213844
1983;0.756665114811631
1984;0.939224500568787
1985;1.20524920835004
1986;1.24475986207894
1987;1.2410191718234
1988;1.34865271492159
1989;1.58261702930213
1990;1.83118310686737
1991;2.70478058652106
1992;3.8080166238855
1993;4.84220586480376
1994;6.08832986522511
1995;6.4952709158054
1996;7.470688690341
1997;9.04584008557147
1998;17.6857713196236
1999;28.606910009701
2000;47.8731468672243
2001;94.6190257930626
2002;238.797532968285
2003;823.0268259801
2004;3730.84331444843
2005;12487.7212050896
2006;134508.905773867
2007;13503071.1804775
2008;12488897.0756331
2009;9414478.53796861