v1;v2;v3;v4;v5;v6;v7;v8;v9;v10;v11;v12;v13;v14;v15;v16;v17;v18;v19;v20;v21;v22;v23;v24;v25;v26;v27;v28;v29;v30;v31;v32;v33;v34;v35;v36;v37;v38;v39;v40;v41;v42;v43;v44;v45;v46;v47;v48;v49;v50;v51;v52;v53;v54;v55;v56;v57;v58;v59;v60;v61;v62;v63;v64;v65;v66;v67;v68;v69;v70;v71;v72;v73;v74;v75;v76;v77;v78;v79;v80;v81;v82;v83;v84;v85;v86;v87;v88;v89;v90;v91;v92;v93;v94;v95;v96;v97;v98;v99;v100;v101;v102;v103;v104;v105;v106;v107;v108;v109;v110;v111;v112;v113;v114;v115;v116;v117;v118;v119;v120;v121;v122;v123;v124;v125;v126;v127;v128;v129;v130;v131;v132;v133;v134;v135;v136;v137;v138;v139;v140;v141;v142;v143
1967;32.696;23.32;11.001;7.915;3.658;;1.139;9.375999;12.319;3.086;4.257;;;2.519;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4164.99;2757.64;1817.683;44809.45723;;0.307171128;52899.51864;;35024.77283;186757.3887;266372.0064;628292.9765;904659.6444;2089169.81;6510808.047;42707.34713;107142.771;175891.7639;351926.3086;608532.1029;1597876.673;;;;;;;;;;;;;;;;;;;;;;;;;1.916400712;2.091225691;
1968;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4227.56;2792.86;;48199.39008;;0.315609454;54681.746;;36124.49288;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1969;32.494;23.026;10.809;7.785;3.622;;1.139;9.468001;12.217;3.024;4.163;;;2.483;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4290.13;2828.08;2036.88;52172.09316;;0.323010418;57112.35129;;37648.81214;207687.889;294432.2612;690950.567;995930.228;2315314.047;7287294.351;47949.82862;120943.5168;195302.6848;385970.9061;666084.2732;1762871.791;;;;;;;;;;;;;;;;;;;;;;;;;1.904170962;2.105985529;
1970;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4352.7;2863.3;;57961.10264;;0.335889871;60266.07085;;39644.32207;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1971;30.962;21.514;9.767;6.974999;3.199;;1.044;9.447999;11.747;2.792001;3.775999;;;2.155;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4380.7;2889.65;2288.182;65900.13034;;0.356762805;63923.63466;;42166.0764;205280.8713;285244.9317;647602.8005;925620.4664;2121103.06;6895739.864;50863.44874;125316.811;194655.4645;369585.1346;626749.8179;1590587.86;;;;;;;;;;;;;;;;;;;;;;;;;1.940793937;2.06293202;
1972;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4408.7;2916;;74265.55548;;0.380891834;66864.9082;;44225.75188;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1973;30.288;20.47;8.787;6.147;2.679;;0.8279999;9.818;11.683;2.64;3.468;;;1.8510001;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4436.7;2942.35;2420.626;81529.54828;;0.417900772;66305.191;;43972.56491;190266.0244;257163.7848;551953.6338;772622.0207;1682808.45;5213628.27;48653.5511;123368.2641;183466.3225;331285.2469;545075.4134;1290495.137;;;;;;;;;;;;;;;;;;;;;;;;;2.065551998;1.938480714;
1974;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4464.7;2968.7;;89646.38774;;0.455501313;66294.40072;;44080.94327;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1975;29.925;20.121;8.494;5.901;2.559;;0.789;9.804;11.627;2.593;3.342;;;1.77;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4492.7;2995.05;2542.273;90680.31908;;0.481999949;62814.79843;;41875.36716;191080.7973;256902.4819;542278.7478;753342.268;1633731.24;5043562.641;49704.98373;125259.1127;185558.4154;331215.2276;533245.0248;1254861.085;;;;;;;;;;;;;;;;;;;;;;;;;2.087865614;1.919231187;
1976;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4520.7;3021.4;;92695.51991;;0.491918193;62367.39942;;41683.11558;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1977;29.889;20.06;8.396;5.815;2.509;;0.76;9.829;11.664;2.581;3.306;;;1.749;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4548.7;3047.75;2665.568;96869.34641;;0.497847925;63842.56508;;42776.21688;194366.7344;260889.7084;545969.5891;756918.2965;1631536.088;4942078.225;50656.3018;127843.7604;189619.7382;335020.8818;538263.8487;1263698.072;;;;;;;;;;;;;;;;;;;;;;;;;2.103366889;1.906316847;
1978;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4576.7;3074.1;;100342.2212;;0.502665776;64936.12994;;43616.61395;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1979;29.866;20.018;8.397;5.846;2.58;;0.835;9.847999;11.621;2.551;3.266;;;1.745;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4604.7;3100.45;2790.08;104464.2487;;0.518139773;65027.34506;;43784.40115;196716.8737;263694.1286;553006.8926;770534.7914;1699128.001;5532044.656;51317.76346;129739.6187;191365.9376;335478.9938;538386.4888;1273248.373;;;;;;;;;;;;;;;;;;;;;;;;;2.051300764;1.951202581;
1980;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4632.7;3126.8;;111741.5755;;0.542599349;65862.07648;;44453.02755;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1981;29.875;19.998;8.386;5.85;2.621;;0.858;9.877003;11.612;2.536;3.229;;;1.763;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4699.17;3180.53;2904.463;120345.7945;;0.574546298;65857.67448;;44574.32044;193703.1967;259308.1616;543639.5607;758476.3726;1699116.729;5575125.474;50507.46747;128098.2318;188225.3118;328802.7489;523316.2835;1268449.09;;;;;;;;;;;;;;;;;;;;;;;;;2.020560566;1.979853654;
1982;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4765.64;3234.26;;127786.8745;;0.608739871;64905.21162;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1983;30.352;20.636;9.051;6.482;3.16;;1.251;9.716;11.585;2.569;3.322;;;1.909;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4832.11;3287.99;3106.149;133997.3504;;0.62865088;64827.04039;;44111.30138;193355.8305;262989.4129;576627.223;825664.436;2013194.149;7963584.452;49303.43618;123722.248;184579.9604;327590.01;528782.0076;1352039.671;;;;;;;;;;;;;;;;;;;;;;;;;1.841652786;2.188138406;
1984;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4898.58;3341.72;;141945.9084;;0.64624303;65728.98836;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1985;30.781;20.927;9.07;6.405;2.938;;0.964;9.854001;11.857;2.665;3.467;;;1.974;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4965.05;3395.45;3112.537;144505.4009;;0.668017997;63708.67561;;43568.46811;200193.6258;272258.1279;589914.2904;833814.9067;1910880.028;6243855.775;50023.11305;128129.1237;192844.0872;346013.6742;564548.6263;1429438.278;;;;;;;;;;;;;;;;;;;;;;;;;1.959076827;2.042669338;
1986;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5031.52;3449.18;;152109.8371;;0.672919056;65535.80151;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1987;30.776;20.962;9.218;6.59;3.153;;1.145;9.814;11.744;2.628;3.437;;;2.008;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5097.99;3502.91;3227.082;155843.8246;;0.684036047;65040.16433;;44690.13121;207138.1716;282106.3078;620337.7732;886965.9201;2121853.98;7739080.486;51758.3721;132170.0354;197548.4415;353709.6264;578243.905;1497717.702;;;;;;;;;;;;;;;;;;;;;;;;;1.872353194;2.146324685;
1988;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5164.46;3556.64;;165623.1273;;0.696019411;66905.1765;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1989;29.99;20.143;8.601;6.091;2.854;;1;9.847;11.542;2.51;3.237;;;1.854;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5230.93;3610.37;3272.566;175273.5885;;0.721395192;67296.35205;;46447.71208;205073.1234;275436.6592;588140.6917;832874.5059;1951579.507;6838050.13;53192.43218;134709.5876;197260.6511;343406.8775;553198.2555;1408638.327;;;;;;;;;;;;;;;;;;;;;;;;;1.919735767;2.087268797;
1990;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5297.4;3664.1;;189099.3786;;0.758729192;68019.90014;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1991;29.649;19.869;8.483;6.01;2.822;;0.98;9.780002;11.386;2.473;3.188;;;1.842;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5321.6304;3684.90395;3393.196;201677.0115;;0.800383164;68380.5013;;47349.31974;194847.6197;261154.9547;553262.0944;789905.0214;1854502.471;6440157.412;51367.92222;128540.2847;188128.1697;316619.1675;523755.6589;1344985.256;;;;;;;;;;;;;;;;;;;;;;;;;1.903686775;2.106578106;
1992;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5345.8608;3705.7079;;205883.3066;;0.832884226;66706.06377;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1993;29.215;19.267;8.026;5.667;2.667;;0.8669999;9.947999;11.241;2.359;3;;;1.8000001;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5370.0912;3737;3326.142591;210502.8379;;0.857165041;65715.89196;;45731.12059;198985.2217;265761.1496;563798.1529;796935.8104;1870905.423;6727033.192;51746.12284;132209.2939;191251.8987;330660.4954;528443.4072;1331335.671;;;;;;;;;;;;;;;;;;;;;;;;;1.919650402;2.08736972;
1994;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5394.3216;3747.3158;;214837.9717;;0.867734321;66069.94937;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1995;29.18819;19.4973;8.262909;5.857744;2.753837;;0.9974788;9.690896;11.23439;2.405164;3.103907;;;1.756359;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5415460;3747845;4224753;218085.2969;;0.884212858;66470.03273;;45975.26176;169844.6719;226907.6406;480814.625;681718.625;1602444.75;5804281;;;;;;;101356.5;130443.2;238630.4;338339.9;703977.3;2592489;;;;;;;;;;;;;;;;;;;1.912758;2.095581;104793
1996;30.45636;20.62788;9.045958;6.568401;3.400838;;1.406852;9.828478;11.58192;2.477557;3.167563;;;1.993986;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5587489;3919526;4239383;222852.625;;0.891389659;64245.54515;;45067.12847;173165.8125;234567.9844;514326.3438;746919.625;1933615.875;7998941.5;;;;;;;99468.54;126326;238586.4;328973.4;770836.6;3152024;;;;;;;;;;;;;;;;;;;1.738733;2.353669;102533.9
1997;31.00218;21.15094;9.500508;7.010909;3.839569;;1.664227;9.851233;11.65043;2.489599;3.17134;;;2.175342;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5601686;3937974;4254013;227619.9688;;0.896026608;65238.55685;;45862.56853;179196.5625;244510.3438;549141.625;810479.125;2219320.5;9619446;;;;;;;99981.47;127108.3;237007.2;328452.4;810521.6;3551531;;;;;;;;;;;;;;;;;;;1.648708;2.541526;104198.1
1998;31.35957;21.41708;9.611154;7.090603;3.87271;;1.651981;9.942492;11.80592;2.520551;3.217893;;;2.220729;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5629646;3969308;4268643;232387.2969;;0.896187495;65890.76908;;46457.75665;183597.8906;250777.0469;562695.0625;830253.5625;2267318.75;9671696;;;;;;;102225.4;130902.6;244138.5;338685.7;836562.9;3626981;;;;;;;;;;;;;;;;;;;1.652239;2.533181;106401.6
1999;31.58326;21.65702;9.777609;7.226417;3.962688;;1.686648;9.926235;11.87941;2.551192;3.263729;;;2.27604;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5667203;4007390;4283273;237154.625;;0.90341483;66099.59375;;46740.31457;186907.5625;256329.5469;578632.25;855308.9375;2345092.25;9981470;;;;;;;103429.2;132558;249887.1;348326;864694.1;3755113;;;;;;;;;;;;;;;;;;;1.645394;2.549442;104582.6
2000;31.93337;21.94259;9.897716;7.309127;3.978357;;1.667773;9.990776;12.04488;2.588589;3.33077;;;2.310584;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5707411;4039937;4297903;241921.9688;;0.9174947;65817.50053;;46588.29645;191225.3438;262795.9688;592701.0625;875379.125;2382344;9987062;;;;;;;105469.1;135843.8;258506.9;359380.3;907467;3820478;;;;;;;;;;;;;;;;;;;1.655167;2.526329;106484.2
2001;31.92882;21.93452;9.874717;7.279015;3.939183;;1.642594;9.994303;12.0598;2.595702;3.339832;;;2.296589;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5780296;4090390;4312533;246689.2969;;0.926568946;65662.38891;;46465.56961;192561.0625;264571.875;595539.0625;877987.1875;2375701;9906401;;;;;;;105664.1;137978.8;263719.9;364351.3;927501.9;3790808;;;;;;;;;;;;;;;;;;;1.664222;2.505522;107851.5
2002;31.56102;21.44065;9.328444;6.741765;3.392089;;1.336505;10.12038;12.1122;2.586679;3.349676;;;2.055584;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5839404;4140473;4327163;251456.6406;;0.932523916;65726.28238;;46603.70557;191674.4375;260424;566529.25;818873.3125;2060062.25;8116777;;;;;;;108680.4;142264.6;272933.4;385067.5;882395.4;3232267;;;;;;;;;;;;;;;;;;;1.783619;2.276131;109492.6
2003;31.41606;21.33814;9.480427;6.915708;3.542655;;1.495225;10.07792;11.85771;2.564719;3.373053;;;2.04743;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5892822;4187887;4341793;0.256223947;;0.938476395;65906.87429;;46838.43192;192210.25;261102.6406;580033;846235.75;2167472.25;9148107;;;;;;;108530.9;139821.9;267743.8;371445.4;835325.3;3392574;;;;;;;;;;;;;;;;;;;1.746722;2.339186;108524.5
2004;31.83137;21.70797;9.725752;7.111444;3.673654;;1.542416;10.1234;11.98221;2.614307;3.43779;;;2.131238;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5947746;4238886;4374639;0.260882765;;0.94601115;65561.35967;;46724.77555;195906.5469;267203.875;598572.5625;875349.5;2260955;9492819;;;;;;;109687.8;141979.2;275267.9;382105.4;861750;3567049;;;;;;;;;;;;;;;;;;;1.732576;2.365045;109687.9
2005;32.2407;22.08362;9.947484;7.261517;3.702003;;1.527117;10.15708;12.13614;2.685967;3.559514;;;2.174886;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5997894;4289550;4448103;0.265043348;;0.957098079;65280.35287;;46686.93795;199209.2969;272901.1875;614636.5625;897351.3125;2287399;9435775;;;;;;;110399.4;143804.1;284197.1;398924.1;895994.8;3600621;;;;;;;;;;;;;;;;;;;1.752162;2.329501;110395.2
2006;32.85744;22.66564;10.36783;7.604904;3.916625;;1.616839;10.19181;12.29781;2.762923;3.688279;;;2.299786;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6055538;4347825;4494082;0.272753835;;0.967238533;65271.41301;;46864.31637;206125.9375;284378.5;650409.0625;954162.9375;2457032;10142978;;;;;;;112494;147645.4;297489.2;420050;960285.7;3906903;;;;;;;;;;;;;;;;;;;1.732429;2.36532;112488.5
2007;33.66972;23.47848;11.04688;8.203202;4.321805;;1.803814;10.19124;12.4316;2.843678;3.881397;;;2.517991;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6143378;4427259;4555758;0.287690252;;0.974322016;67526.53727;;48663.36889;218791.1406;305133.75;717843.6875;1066114;2808377;11721469;;;;;;;116796.1;154673.5;317710.7;441077.5;1075303;4459163;;;;;;;;;;;;;;;;;;;1.687976;2.453539;116786.1
2008;33.88512;23.61219;11.0425;8.166475;4.276884;;1.810409;10.27293;12.56969;2.876024;3.889592;;;2.466475;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6250712;4522320;4617790;0.299113631;;0.997959467;66764.8474;;48303.618;224121.6875;312349.7188;730368.9375;1080288;2828800.5;11974337;;;;;;;120071.2;159678.1;329246.4;457010.2;1085344;4457322;;;;;;;;;;;;;;;;;;;1.700507;2.427538;120060.8
2009;33.60593;23.21888;10.68659;7.871081;4.119733;;1.756928;10.38705;12.53229;2.815507;3.751348;;;2.362805;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6336785;4599535;4681823;0.303501338;;0.996435944;67132.9217;;48728.21518;221749.4531;306420.5625;705156.875;1038750.063;2718415;11593129;;;;;;;121404.6;160722.6;321739.6;438316.9;1043037;4275871;;;;;;;;;;;;;;;;;;;1.706397;2.415634;121395.6
2010;33.86563;23.4129;10.74901;7.901567;4.079357;;1.680285;10.45273;12.66388;2.847448;3.822209;;;2.399072;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6415353;4671503;4744872;0.309750378;;1;67055.7996;;48828.39167;224550.6563;310484.8125;712728.0625;1047848.25;2704873.25;11141357;;;;;;;122760;162992.6;328568.3;450587.6;1065378;4285711;;;;;;;;;;;;;;;;;;;1.726451;2.376556;122752.7
2011;34.79329;24.4347;11.90524;9.093565;5.353057;;2.909555;10.35859;12.52945;2.811677;3.740508;;;2.443502;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6497511;4750014;4795463;0.318836749;;;;;;233544.125;328027.625;799119.375;1220780.625;3593149.75;19529898;;;;;;;123430.2;164182.2;331771.7;442199.9;1060948;5029914;;;;;;;;;;;;;;;;;;;1.531713;2.880713;
2012;33.74064;23.18654;10.43518;7.58557;3.811276;;1.514479;10.5541;12.75135;2.849614;3.774294;;;2.296797;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6577492;4818410;4860716;0.318354934;;;;;;222926.2344;306389.4063;689458.25;1002365.375;2518131;10006245;;;;;;;123825.9;163867.3;328090.7;446628.2;1028639;3989196;;;;;;;;;;;;;;;;;;;1.777556;2.286082;
2013;33.97564;23.42711;10.6505;7.795607;4.005583;;1.652421;10.54853;12.77661;2.85489;3.790024;;;2.353162;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6667327;4897285;4932933;0.325487554;;;;;;225811.8438;311406.5625;707862.4375;1036236.563;2662225;10982463;;;;;;;124542;165032.7;333126.3;449445.6;1052644;4232168;;;;;;;;;;;;;;;;;;;1.738236;2.35458;
2014;34.60255;24.07533;11.30278;8.436886;4.605531;;2.171259;10.52722;12.77255;2.86589;3.831355;;;2.434272;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6755656;4973058;4989633;0.334734946;;;;;;232908.6563;324100.5625;760786.25;1135768.25;3099968.5;14614678;;;;;;;125976.2;167562.5;340378.7;458169.8;1092139;4703569;;;;;;;;;;;;;;;;;;;1.63909;2.564725;
