"v1","v2","v3","v4","v5","v6","v7","v8","v9","v10","v11","v12","v13","v14","v15","v16","v17","v18","v19","v20","v21","v22","v23","v24","v25","v26","v27","v28","v29","v30","v31","v32","v33","v34","v35","v36","v37","v38","v39","v40","v41","v42","v43","v44","v45","v46","v47","v48","v49","v50","v51","v52","v53","v54","v55","v56","v57","v58","v59","v60","v61","v62","v63","v64","v65","v66","v67","v68","v69","v70","v71","v72","v73","v74","v75","v76","v77","v78","v79","v80","v81","v82","v83","v84","v85","v86","v87","v88","v89","v90","v91","v92","v93","v94","v95","v96","v97","v98","v99","v100","v101","v102","v103","v104","v105","v106","v107","v108","v109","v110","v111","v112","v113","v114","v115","v116","v117","v118","v119","v120","v121","v122","v123","v124","v125","v126","v127","v128","v129","v130","v131","v132","v133","v134","v135","v136","v137","v138","v139","v140","v141","v142"
"1934",,"31.81907","21.51202","17.01632","7.2204740000000003","4.6900789999999999","1.6847540000000001",,"10.30705","4.4956999999999994","9.7958460000000009","2.5303950000000004","3.005325","5.5357200000000004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14466.863100024577",,"2077",,"1.206767049728033E-8","11897.033414045716",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1.9015581758354678","2.1091907619531116"
"1935",,,,"15.81969","6.8144770000000001","4.4453050000000003","1.599253",,,,"9.0052129999999995","2.3691719999999998","2.8460520000000002","5.2152240000000001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14684.172442836412",,"2130",,"1.1579190734740928E-8","12527.139673359314",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1936",,,,"15.98967","6.9295850000000003","4.5246089999999999","1.6278969999999999",,,,"9.0600850000000008","2.4049760000000004","2.896712","5.3016880000000004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14904.760776876628",,"2090",,"1.1201729100051386E-8","12518.03641484234",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1937",,,,"14.640280000000001","6.5587439999999999","4.3788049999999998","1.688968",,,,"8.0815359999999998","2.1799390000000001","2.6898369999999998","4.8697759999999999",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15128.677810917003",,"2503",,"1.1967754182215456E-8","13824.429415030043",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1938",,,"19.799109999999999","15.83689","7.244237","4.8988129999999996","1.99854",,,"3.9622199999999985","8.5926530000000003","2.3454240000000004","2.9002729999999994","5.2456969999999998",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15355.974010933458",,"2674",,"1.2267059054898692E-8","14195.267420290505",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1.7751049222975441","2.2901479157632338"
"1939",,,"19.867979999999999","15.830310000000001","7.0344759999999997","4.6783029999999997","1.8336110000000001",,,"4.0376699999999985","8.795834000000001","2.3561730000000001","2.8446919999999993","5.2008649999999994",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15586.700611696959",,"2685",,"1.2439581225577382E-8","13847.913313248042",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1.8212347436501719","2.2176786329755895"
"1940",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1.3292200447464347E-8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1941",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1942",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1943",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1944",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1945",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1946",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2.1309759412985566E-7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1947",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2.8698797759074584E-7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1948",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1.6040474185650765E-7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1949",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1.5487495111193146E-7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1950",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1.9422836811126166E-7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1951",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2.9490996806836829E-7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1952",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3.1764148685988982E-7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1953",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3.4748035387514575E-7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1954",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3.6820262232493651E-7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1955",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4.5804910029248087E-7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1956",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5.3056204546121348E-7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1957",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6.0194280768734264E-7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1958",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8.8226721070322831E-7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1959",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1.1142267142032434E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1960",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1.5131431967342922E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1961",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1.8469165761688573E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1962",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4.9340412612066178E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1963",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1.0797959529332947E-5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1964",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2.2103835070848925E-5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1965",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8.9406613731348502E-5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1966",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1.0215252539948509E-3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1967",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2.7517127698164228E-3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1968",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6.2037300578178037E-3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1969",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7.2850630598094088E-3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1970",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8.1846875264147932E-3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1971",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"24322.589",,,,"8.5403011631522367E-3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1972",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"24917.894",,,,"9.097689308508735E-3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1973",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"25528.405999999999",,,,"1.1921417652884745E-2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1974",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"26154.530999999999",,,,"1.676177630716056E-2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1975",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"26796.684000000001",,,,"1.9955610380053283E-2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1976",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"27455.293000000001",,,,"2.391864009353797E-2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1977",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"28130.797999999999",,,,"2.6558430349946337E-2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1978",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"28823.651999999998",,,,"2.8712178143603842E-2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
