"v1","v2","v3","v4","v5","v6","v7","v8","v9","v10","v11","v12","v13","v14","v15","v16","v17","v18","v19","v20","v21","v22","v23","v24","v25","v26","v27","v28","v29","v30","v31","v32","v33","v34","v35","v36","v37","v38","v39","v40","v41","v42","v43","v44","v45","v46","v47","v48","v49","v50","v51","v52","v53","v54","v55","v56","v57","v58","v59","v60","v61","v62","v63","v64","v65","v66","v67","v68","v69","v70","v71","v72","v73","v74","v75","v76","v77","v78","v79","v80","v81","v82","v83","v84","v85","v86","v87","v88","v89","v90","v91","v92","v93","v94","v95","v96","v97","v98","v99","v100","v101","v102","v103","v104","v105","v106","v107","v108","v109","v110","v111","v112","v113","v114","v115","v116","v117","v118","v119","v120","v121","v122","v123","v124","v125","v126","v127","v128","v129","v130","v131","v132","v133","v134","v135","v136","v137","v138","v139","v140","v141","v142"
"1979",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"29534.316999999999",,,,"3.4521674279813071E-2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1980",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30263.273000000001",,"31172",,"4.0772022247313612E-2","25263.092922228534",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1981",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"31140.668000000001",,"37710",,"4.5764301845225432E-2","26460.726664342907",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1982",,,"7.1712569999999998",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"32045.817999999999",,"42314",,"5.010342051524954E-2","26353.927333395004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1983",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"32979.690999999999",,"55982",,"5.6009255980020614E-2","30306.935456261606",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1984",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"33943.294000000002",,"65740",,"6.1800109038517938E-2","31339.096566386597",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1985",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"34937.671999999999",,"71932",,"6.4791173107956485E-2","31776.958659273467",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1986",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"35835.94",,"76365",,"6.8566682364997938E-2","31078.669559706399",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1987",,,"7.9905059999999999",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"36759.99",,"93085",,"7.4926578787625084E-2","33796.242348902895",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1988",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"37710.661",,"111928",,"8.0953047967862929E-2","36664.130806117631",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1989",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"38688.822",,"134662",,"8.6148081359421189E-2","40403.030773851264",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1990",,,"8.0509889999999995",,,"1.010885","0.69194429999999996",,,,,,"0.31894070000000008",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"39695.375",,"158545",,"9.2577712414107921E-2","43142.588242063168",,,,,,,,"2985226.8021342624",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1.3081012178214753","4.2456866190624254"
"1991",,,,,,"0.90386710000000003","0.58152970000000004",,,,,,"0.3223374",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"40809.866000000002",,"187085",,"0.10112376931745062","45333.635692026633",,,,,,,,"2636285.5563893542",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1.3774509068522807","3.6493511655314697"
"1992",,,,,,"1.037523","0.69129470000000004",,,,,,"0.34622829999999993",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"41961.383000000002",,"210384",,"0.10872024583734827","46116.09112400408",,,,,,,,"3187980.9378741067",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1.3373948119307315","3.9638867126543249"
"1993",,,"9.1008519999999997",,,"1.0235890000000001","0.66199490000000005",,,,,,"0.36159410000000003",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"43151.39",,"244548",,"0.11932133467722704","47495.364278790512",,,,,,,,"3144168.8926201495",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1.3713386770791984","3.6929594511016202"
"1994",,,,,,"1.0245850000000001","0.6672245",,,,,,"0.35736050000000008",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"44381.421000000002",,"310805",,"0.12940247350550854","54118.308698869667",,,,,,,,"3610906.1462448956",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1.3633278527258825","3.7523350948666825"
"1995",,,,,,"0.88624440000000004","0.5527067",,,,,,"0.33353770000000005",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"45653.084000000003",,"402104",,"0.14161753102433755","62194.395929087434",,,,,,,,"3437525.9332459345",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1.4151733398783939","3.4086325010486087"
"1996",,,"9.6875219999999995",,,"0.90676279999999998","0.56175489999999995",,,,,,"0.34500790000000003",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"46838.934000000001",,"438717",,"0.1528379015644587","61283.899910978202",,,,,,,,"3442653.1066101566",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1.4234969641605089","3.3612920153566712"
"1997",,,,,,"0.93839329999999999","0.59470619999999996",,,,,,"0.34368710000000002",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"48065.457000000002",,"479912",,"0.16294507214562651","61275.561930115633",,,,,,,,"3644095.6588323726",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1.3954628605874053","3.528682462152422"
"1998",,,"12.42205",,,"0.79762940000000004","0.54078970000000004",,,,,,"0.2568397",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"49334.52",,"671984",,"0.2464872853633937","55260.333763973358",,,,,,,,"2988421.9318119027",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1.3183206591302761","4.1414863324681024"
"1999",,,"13.65053",,,"0.83522050000000003","0.58110300000000004",,,,,,"0.2541175",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"50648.103000000003",,"787491",,"0.31460289477924658","49421.929965747935",,,,,,,,"2871923.1768886019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1.2909893476420047","4.4365519153995612"
"2000",,,"13.8157",,,"1.0496509999999999","0.77532420000000002",,,,,,"0.27432679999999987",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"52008.307999999997",,"988484",,"0.32621233473814337","58263.496045466622",,,,,,,,"4517309.846065457",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1.2318639968605303","5.3128731219168763"
"2001",,,"15.51557",,,"1.203794","0.80883740000000004",,,,,,"0.39495659999999999",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"53416.089",,"1248222",,"0.36373357927345118","64244.558617445669",,,,,,,,"5196340.1756282346",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1.3281357075217908","4.0475195995961277"
"2002",,,"10.4735",,"1.4748019999999999","1.256799","0.7549302",,,,,"0.21800299999999995","0.5018688","0.71987179999999995",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"54976.292999999998",,"1461546",,"0.40694189801579533","65328.792335028105",,,,,,,"963470.33593284106","4931867.826324123",,,,,,"522537.28144492093",,,,,,,,,,,,,,,,,,,,,,,,,"1.4634713983720919","3.1576304460478553"
"2003",,,"9.7631739999999994",,"1.3360510000000001","1.098185","0.61061880000000002",,,,,"0.23786600000000013","0.48756619999999995","0.72543220000000008",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"56590.33",,"1638095",,"0.43374057072269656","66737.020214606237",,,,,,,"891640.62594744877","4075087.9199018604",,,,,,"537924.2599525142",,,,,,,,,,,,,,,,,,,,,,,,,"1.5740275103895642","2.7420767853466628"
"2004",,,"8.4646830000000008",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"58259.807000000001",,"1881756",,"0.46071052745050234","70107.766522716222",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2005",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.50889430297813321",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2006",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.57557796333333633",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2007",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.61245568866856248",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2008",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.68071976037390303",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.71456746212161681",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.75124445854422983",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.79149237743496859",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.8253643883826195",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.88300632236809518",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2014",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.94017549444313719",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
