v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,v42,v43,v44,v45,v46,v47,v48,v49,v50,v51,v52,v53,v54,v55,v56,v57,v58,v59,v60,v61,v62,v63,v64,v65,v66,v67,v68,v69,v70,v71,v72,v73,v74,v75,v76,v77,v78,v79,v80,v81,v82,v83,v84,v85,v86,v87,v88,v89,v90,v91,v92,v93,v94,v95,v96,v97,v98,v99,v100,v101,v102,v103,v104,v105,v106,v107,v108,v109,v110,v111,v112,v113,v114,v115,v116,v117,v118,v119,v120,v121,v122,v123,v124,v125,v126,v127,v128,v129,v130,v131,v132,v133,v134,v135,v136,v137,v138,v139,v140,v141,v142,v143,v144
Variable,Top 10% income share,Top 5% income share,Top 1% income share,Top 0.5% income share,Top 0.1% income share,Top 0.05% income share,Top 0.01% income share,Top 10-5% income share,Top 5-1% income share,Top 1-0.5% income share,Top 0.5-0.1% income share,Top 0.1-0.05% income share,Top 0.05-0.01% income share,Top 0.1-0.01% income share,Top 10% income share-including capital gains,Top 5% income share-including capital gains,Top 1% income share-including capital gains,Top 0.5% income share-including capital gains,Top 0.1% income share-including capital gains,Top 0.05% income share-including capital gains,Top 0.01% income share-including capital gains,Top 10-5% income share-including capital gains,Top 5-1% income share-including capital gains,Top 1-0.5% income share-including capital gains,Top 0.5-0.1% income share-including capital gains,Top 0.1-0.05% income share-including capital gains,Top 0.05-0.01% income share-including capital gains,Top 0.1-0.01% income share-including capital gains,Top 10% income composition,Top 10% income composition,Top 10% income composition,Top 10% income composition,Top 10% income composition,Top 10% income composition,Top 5% income composition,Top 5% income composition,Top 5% income composition,Top 5% income composition,Top 5% income composition,Top 5% income composition,Top 1% income composition,Top 1% income composition,Top 1% income composition,Top 1% income composition,Top 1% income composition,Top 1% income composition,Top 0.5% income composition,Top 0.5% income composition,Top 0.5% income composition,Top 0.5% income composition,Top 0.5% income composition,Top 0.5% income composition,Top 0.1% income composition,Top 0.1% income composition,Top 0.1% income composition,Top 0.1% income composition,Top 0.1% income composition,Top 0.1% income composition,Top 0.01% income composition,Top 0.01% income composition,Top 0.01% income composition,Top 0.01% income composition,Top 0.01% income composition,Top 0.01% income composition,Top 10-5% income composition,Top 10-5% income composition,Top 10-5% income composition,Top 10-5% income composition,Top 10-5% income composition,Top 10-5% income composition,Top 5-1% income composition,Top 5-1% income composition,Top 5-1% income composition,Top 5-1% income composition,Top 5-1% income composition,Top 5-1% income composition,Top 1-0.5% income composition,Top 1-0.5% income composition,Top 1-0.5% income composition,Top 1-0.5% income composition,Top 1-0.5% income composition,Top 1-0.5% income composition,Top 0.5-0.1% income composition,Top 0.5-0.1% income composition,Top 0.5-0.1% income composition,Top 0.5-0.1% income composition,Top 0.5-0.1% income composition,Top 0.5-0.1% income composition,Top 0.1-0.01% income composition,Top 0.1-0.01% income composition,Top 0.1-0.01% income composition,Top 0.1-0.01% income composition,Top 0.1-0.01% income composition,Top 0.1-0.01% income composition,Number of adults,Number of tax units,Number of tax returns,Fiscal income control,Fiscal income control,Fiscal income control-incl. capital gains,Price index,Average income per tax unit,Average income per tax unit,Average income per tax unit-including capital gains,Average income per adult,Top 10% average income,Top 5% average income,Top 1% average income,Top 0.5% average income,Top 0.1% average income,Top 0.01% average income,Bottom 90% average income,Top 10-5% average income,Top 5-1% average income,Top 1-0.5% average income,Top 0.5-0.1% average income,Top 0.1-0.01% average income,P90 income threshold,P95 income threshold,P99 income threshold,P99.5 income threshold,P99.9 income threshold,P99.99 income threshold,Top 10% average income-including capital gains,Top 5% average income-including capital gains,Top 1% average income-including capital gains,Top 0.5% average income-including capital gains,Top 0.1% average income-including capital gains,Top 0.01% average income-including capital gains,Bottom 90% average income-including capital gains,Top 10-5% average income-including capital gains,Top 5-1% average income-including capital gains,Top 1-0.5% average income-including capital gains,Top 0.5-0.1% average income-including capital gains,Top 0.1-0.01% average income-including capital gains,P90 income-including capital gains threshold,P95 income-including capital gains threshold,P99 income-including capital gains threshold,P99.5 income-including capital gains threshold,P99.9 income-including capital gains threshold,P99.99 income-including capital gains threshold,Pareto-Lorenz coefficient,Inverted Pareto-Lorenz coefficient
Subvariable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,break in 1999,,,,break in 1999/2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1910,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922,,,,,3.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1494.898,,147.2896171,,,2.05E-02,4796.266242,,,,,,,,222546.7536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1923,,,,,4.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1499.323,,147.8229071,,,2.03E-02,4850.401779,,,,,,,,254646.0934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,,,,,4.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1503.748,,148.8386976,,,2.11E-02,4694.613449,,,,,,,,223933.0615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1925,,,,,4.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1508.173,,149.3338954,,,2.03E-02,4871.227481,,,,,,,,246971.2333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1926,,,,,3.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1512.598,,150.4385675,,,1.97E-02,5054.196884,,,,,,,,238558.0929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1927,,,,,4.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1517.023,,151.8479768,,,1.91E-02,5230.390883,,,,,,,,252627.8796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1521.448,,153.3589651,,,1.91E-02,5267.073239,,,,,,,,252819.5155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1929,,,,,4.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1525.873,,154.6287032,,,1.94E-02,5236.209041,,,,,,,,258668.7266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1930,,,,,4.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1530.298,,146.819814,,,1.82E-02,5281.732769,,,,,,,,275178.2773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1931,,,,,6.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1534.723,,134.1224332,,,1.78E-02,4898.641037,,,,,,,,381114.2727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1932,,,,,5.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1539.147,,129.7291395,,,1.68E-02,5029.444762,,,,,,,,337475.7436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1933,,,,,5.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1543.572,,126.2246624,,,1.69E-02,4848.321745,,,,,,,,326776.8856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1934,,,,,5.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1547.997,,132.7384187,,,1.70E-02,5051.319237,,,,,,,,333892.2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1935,,,,,5.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1552.422,,138.782372,,,1.75E-02,5103.982115,,,,,,,,345539.5892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1936,,,,,5.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1556.847,,146.7436297,,,1.79E-02,5251.671436,,,,,,,,331380.4676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1937,,,,,5.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1553.822,,152.8510699,,,1.91E-02,5140.253275,,,,,,,,324864.007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1938,40.09,,14.26,10.42,4.98,,,,,4.55,6.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1550.797,,155.822257,,,1.90E-02,5280.177425,,,,25138.92472,,89393.40381,130737.193,314170.5568,,,,,48049.61457,84878.85211,,,,,,,,,,,,,,,,,,,,,,,,,,1.831971542,2.201964189
1939,,,,,4.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1547.773,,164.659634,,,2.08E-02,5124.618775,,,,,,,,279804.1851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,,,,,4.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1544.748,,181.7249138,,,2.31E-02,5084.216673,,,,,,,,250651.882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1941,,,,,4.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1541.723,,196.2507174,,,2.56E-02,4967.51227,,,,,,,,244898.3549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1942,,,,,3.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1538.698,,219.41074,,,2.95E-02,4830.918622,,,,,,,,222705.3485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1943,29.77,,10.78,7.79,3.54,,,,,3.56,5.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1535.673,,242.2660254,,,3.18E-02,4962.838994,,,,17707.40953,,64119.8798,92904.34597,198513.5598,,,,,35335.41364,66502.04252,,,,,,,,,,,,,,,,,,,,,,,,,,2.037500284,1.963855158
1944,,,,,3.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1532.649,,254.0999843,,,3.20E-02,5180.344982,,,,,,,,236223.7312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1945,,,,,3.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1529.624,,275.7744133,,,3.22E-02,5595.593088,,,,,,,,255159.0448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1946,,,,,3.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1526.599,,287.4813983,,,3.17E-02,5944.454117,,,,,,,,281172.6797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1947,,,,,4.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1519.608,,295.8489723,,,3.34E-02,5827.363318,,,,,,,,279713.4393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1948,,,,,3.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1512.617,,313.2189892,,,3.42E-02,6060.583191,,,,,,,,271514.127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1949,,,,,3.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1505.625,,322.0182741,,,3.45E-02,6201.00355,,,,,,,,269743.6544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1950,,,,,3.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1498.634,,339.3375015,,,3.51E-02,6443.806999,,,,,,,,271284.2746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1951,,,,,3.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1491.643,,368.5541746,,,3.89E-02,6347.826741,,,,,,,,231695.676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952,,,,,2.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1474.257,,388.1589306,,,4.24E-02,6212.08543,,,,,,,,205620.0277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1953,,,,,2.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1456.87,,416.0677735,,,4.32E-02,6618.371177,,,,,,,,197227.4611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1439.484,,418.3025126,,,4.33E-02,6707.437254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1422.098,,442.8846418,,,4.53E-02,6879.270861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
