v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,v42,v43,v44,v45,v46,v47,v48,v49,v50,v51,v52,v53,v54,v55,v56,v57,v58,v59,v60,v61,v62,v63,v64,v65,v66,v67,v68,v69,v70,v71,v72,v73,v74,v75,v76,v77,v78,v79,v80,v81,v82,v83,v84,v85,v86,v87,v88,v89,v90,v91,v92,v93,v94,v95,v96,v97,v98,v99,v100,v101,v102,v103,v104,v105,v106,v107,v108,v109,v110,v111,v112,v113,v114,v115,v116,v117,v118,v119,v120,v121,v122,v123,v124,v125,v126,v127,v128,v129,v130,v131,v132,v133,v134,v135,v136,v137,v138,v139,v140,v141,v142,v143,v144
1956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1404.712,,443.6972741,,,4.64E-02,6814.552102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1387.325,,462.0830815,,,4.91E-02,6788.3372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1369.939,,468.8888776,,,5.04E-02,6791.677661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1352.553,,499.8704867,,,4.95E-02,7460.034492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1335.166,,548.0443494,,,5.09E-02,8061.909423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1317.78,,595.4055797,,,5.22E-02,8653.661188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1320.531,,646.0046422,,,5.41E-02,9034.643264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1323.282,,679.5003327,,,5.66E-02,9077.313675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1964,,,,,1.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1326.032,,779.1493771,,,6.05E-02,9714.81749,,,,,,,,203039.6855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1965,,,,4.6,1.78,,,,,,3.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1328.783,,823.0188277,,,6.24E-02,9921.340609,,,,,,,108341.0395,209340.2869,,,,,,83091.2276,,,,,,,,,,,,,,,,,,,,,,,,,,,
1966,,,,4.69,1.78,,,,,,3.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1331.534,,873.046508,,,6.48E-02,10112.11151,,,,,,,112648.9222,213365.5529,,,,,,87469.76456,,,,,,,,,,,,,,,,,,,,,,,,,,,
1967,,,,,1.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1336.702,,929.4609708,,,6.65E-02,10451.98322,,,,,,,,211130.061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1968,,,,,1.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1341.869,,1043.127924,,,7.01E-02,11081.66303,,,,,,,,207227.0987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1969,,,,,1.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1347.037,,1176.691672,,,7.55E-02,11573.15956,,,,,,,,206002.2402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970,,,,,1.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1352.204,,1348.182497,,,8.30E-02,12005.40564,,,,,,,,207693.5175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1971,,,,,1.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1357.372,,1551.251708,,,9.02E-02,12669.15223,,,,,,,,192571.1139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1972,,,,,1.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1377.099,,1872.279586,,,9.76E-02,13923.76364,,,,,,,,185186.0564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1973,,,,2.96,1.07,,,,,,2.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1396.825,,2284.639725,,,0.109992149,14870.10505,,,,,,,104388.1375,188850.3341,,,,,,83272.58829,,,,,,,,,,,,,,,,,,,,,,,,,,,
1974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1416.552,,2621.082223,,,0.132015702,14015.94985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1975,24.1,,5.02,3.16,1.10,,,,,2.2,2.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1436.279,,3364.678934,,,0.15424632,15187.62996,,,,43466.99695,,90518.27456,114210.9773,198957.9525,,,,,66825.57182,93024.2335,,,,,,,,,,,,,,,,,,,,,,,,,,2.923762576,1.519814666
1976,23.54,,4.91,3.08,1.06,,,,,2.17,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1456.005,,3956.478458,,,0.186022571,14607.64804,,,,40842.98391,,85162.58806,106927.9836,184056.3653,,,,,63397.19249,87645.88823,,,,,,,,,,,,,,,,,,,,,,,,,,2.987732457,1.503085813
1977,22.98,,4.75,3,1.05,,,,,2.08,2.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1475.732,,4752.553443,,,0.20607949,15627.3286,,,,42646.97976,,88138.13332,111266.5796,193778.8747,,,,,65009.68698,90638.50589,,,,,,,,,,,,,,,,,,,,,,,,,,2.922758099,1.520086224
1978,23.75,,5.19,3.35,1.24,,,,,2.18,2.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1495.458,,5644.849181,,,0.222426889,16970.35138,,,,47856.3909,,104537.3645,135083.997,249464.1653,,,,,73990.73203,106488.9549,,,,,,,,,,,,,,,,,,,,,,,,,,2.647347226,1.607036564
1979,26.38,,6.76,4.78,2.23,,,,,2.35,3.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1515.185,,6629.277113,,,0.257901865,16964.69395,,,,53133.42145,,136226.4924,192718.9233,449564.3897,,,,,79734.06157,128507.5567,,,,,,,,,,,,,,,,,,,,,,,,,,1.928527503,2.076974023
1980,26.53,,5.6,3.54,1.24,,,,,2.44,2.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1554.631,,7949.474582,,,0.304955839,16767.72522,,,,52818.33443,,111505.3727,141184.2463,246485.5607,,,,,81826.49906,114858.9177,,,,,,,,,,,,,,,,,,,,,,,,,,2.902793941,1.525542981
1981,25.98,,5.36,3.38,1.18,,,,,2.35,2.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1594.077,,9711.12189,,,0.376056919,16199.68338,,,,49976.02324,,103191.9832,130245.4544,226795.5674,,,,,76138.5119,106107.9262,,,,,,,,,,,,,,,,,,,,,,,,,,2.924074049,1.519730517
1982,27.43,,5.79,3.67,1.30,,,,,2.51,2.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1606.67,,10483.12264,,,0.422332679,15449.31736,,,,50318.42666,,106136.8103,134718.0474,239464.4191,,,,,77555.57317,108531.4545,,,,,,,,,,,,,,,,,,,,,,,,,,2.829855281,1.546491305
1983,28.03,,5.94,3.77,1.35,,,,,2.57,2.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1619.264,,11458.34497,,,0.465841021,15190.30535,,,,50568.52652,,107091.6527,136105.136,243044.8856,,,,,78078.16951,109370.1985,,,,,,,,,,,,,,,,,,,,,,,,,,2.809534369,1.552628354
1984,26.58,,5.47,3.45,1.23,,,,,2.4,2.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1631.857,,12678.95688,,,0.497088322,15630.31987,,,,49344.91984,,101597.0792,128168.623,228202.6701,,,,,75025.53539,103160.1112,,,,,,,,,,,,,,,,,,,,,,,,,,2.845439976,1.541876199
1985,26.34,,5.28,3.31,1.18,,,,,2.34,2.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1644.451,,13431.31479,,,0.521587831,15659.22051,,,,48982.04176,,98183.31261,123081.4732,219229.0872,,,,,73285.15199,99044.56974,,,,,,,,,,,,,,,,,,,,,,,,,,2.866475324,1.535769205
1986,26.13,,5.17,3.23,1.16,,,,,2.32,2.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1657.044,,14285.84852,,,0.538054956,16023.0565,,,,49719.54433,,98541.7975,122736.6128,221118.1798,,,,,74346.98218,98141.22109,,,,,,,,,,,,,,,,,,,,,,,,,,2.848970621,1.540841476
1987,26.24,,5.17,3.21,1.13,,,,,2.33,2.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1668.307,,15272.00329,,,0.554532875,16507.93456,,,,51438.72409,,101358.7182,125790.4614,221206.3231,,,,,76926.97505,101936.4959,,,,,,,,,,,,,,,,,,,,,,,,,,2.950405798,1.512713816
1988,25.69,,5.18,3.25,1.16,,,,,2.3,2.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1679.57,,16418.14507,,,0.569313052,17170.17966,,,,52386.21813,,105596.6049,132210.3833,235231.4613,,,,,78982.82642,106455.1139,,,,,,,,,,,,,,,,,,,,,,,,,,2.87483995,1.533378863
1989,25.7,,5.37,3.46,1.30,,,,,2.28,2.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1690.834,,17946.09708,,,0.595921492,17810.65914,,,,54358.13169,,113632.0053,146047.4049,274284.1507,,,,,81216.60567,113988.2185,,,,,,,,,,,,,,,,,,,,,,,,,,2.613012516,1.619957992
1990,26.15,,5.59,3.61,1.32,,,,,2.36,2.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1702.097,,19063.4158,,,0.612009814,18300.29237,,,,56822.40781,,121513.9413,156650.5027,287314.5902,,,,,86377.37998,123984.4808,,,,,,,,,,,,,,,,,,,,,,,,,,2.675717205,1.596759404
1991,27.33,,6.14,4.06,1.55,,,,,2.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1713.36,,19964.92983,,,0.634055937,18377.71833,,,,59654.07371,,134157.3438,177161.2047,,,,,,91153.48293,,,,,,,,,,,,,,,,,,,,,,,,,,,2.492915866,1.669830111
1992,28.63,,6.59,4.29,1.58,,,,,2.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1745.193,,21050.87333,,,0.648954858,18587.12279,,,,63196.21747,,145537.1714,189216.91,,,,,,101857.4329,,,,,,,,,,,,,,,,,,,,,,,,,,,2.640937953,1.609407563
1993,28.12,,6.36,4.09,1.46,,,,,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1777.026,,23004.6574,,,0.658491658,19659.46567,,,,65642.95588,,148428.9658,190696.817,,,,,,106161.1146,,,,,,,,,,,,,,,,,,,,,,,,,,,2.766189726,1.566190588
1994,29.34,,6.68,4.3,1.54,,,,,2.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1808.86,,23740.077,,,0.67398528,19472.72617,,,,67842.97797,,154418.7185,198621.8069,,,,,,110215.6301,,,,,,,,,,,,,,,,,,,,,,,,,,,2.753483023,1.570293517
1995,29.03,,7.04,4.72,1.88,,,,,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1840.693,,25528.31262,,,0.690073602,20097.6526,,,,71005.00663,,164599.7748,216652.695,,,,,,112546.8545,,,,,,,,,,,,,,,,,,,,,,,,,,,2.522565476,1.656786204
1996,28.15,,7.13,4.87,2.03,7.208,,,,2.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1872.526,,27658.24746,,,0.703177625,21005.43879,,,,74674.33491,,178126.121,237361.4584,,,,,,118890.7836,,,,,,,,,,,,,,,,,,,,,,,,,,,2.414370705,1.707028219
1997,28.72,,7.66,5.34,2.33,7.4205,,,,2.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1923.468,,30651.94702,,,0.716538763,22239.92973,,,,78973.99048,,194154.5866,262431.1708,,,,,,125878.0023,,,,,,,,,,,,,,,,,,,,,,,,,,,2.300260869,1.76907644
1998,30.21,,8.77,6.28,2.89,8.2195,,,,2.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1974.411,,34798.65763,,,0.727086359,24240.35258,,,,86998.6254,,234404.2094,327244.7598,,,,,,141563.659,,,,,,,,,,,,,,,,,,,,,,,,,,,2.077397117,1.92816287
1999,30.48,,8.93,6.39,2.94,8.024,,,,2.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025.353,,39478.8868,,,0.753103042,25882.71133,,,,90408.31066,,244332.7949,341651.7895,,,,,,147013.8003,,,,,,,,,,,,,,,,,,,,,,,,,,,2.067486203,1.936780258
2000,31.69,,9.66,6.94,3.23,,,,,2.902333859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2076.295,,44926.26631,51447.77261,,0.797403337,27135.21209,31074.16521,,,105252.6408,,320827.4716,461279.7396,,,,,,180375.2037,,,,,,,,,,,,,,,,,,,,,,,,,,,1.908964367,2.100153137
2001,31.65,,9.35,6.65,3.02,,,,,2.805404746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2127.237667,,,58502.31726,,0.818748886,,33589.71604,,,110720.6676,,326981.2687,465497.0399,,,,,,188465.4976,,,,,,,,,,,,,,,,,,,,,,,,,,,1.962462023,2.039002035
2002,30.96,,9.24,6.59,3.01,,,,,2.869472318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2178.18,,,61749.2684,,0.859113422,,32997.99452,,,110373.3644,,329468.5983,469563.5329,,,,,,189373.6636,,,,,,,,,,,,,,,,,,,,,,,,,,,1.956260356,2.045740308
2003,31.36,,9.4,6.72,3.07,,,,,2.940471354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2240.948,,,65680.57053,,0.88763893,,33019.37102,,,113410.458,,339955.9992,485726.9692,,,,,,194185.0293,,,,,,,,,,,,,,,,,,,,,,,,,,,1.94251114,2.060995417
2004,32.21,,9.85,7.13,3.39,,,,,2.999136316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2303.716,,,70979.96198,,0.907875186,,33937.56492,,,120598.5241,,368853.8238,534140.8807,,,,,,203566.7669,,,,,,,,,,,,,,,,,,,,,,,,,,,1.872059297,2.146711014
2005,32.85,,10.46,7.68,3.77,,,,,3.082196096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2366.484,,,77423.87016,,0.929172858,,35210.71052,,,128273.8177,,408496.2059,599939.7827,,,,,,217052.629,,,,,,,,,,,,,,,,,,,,,,,,,,,1.803442698,2.244643834
2006,34.21,,11.31,8.4,4.22,,,,,3.220199401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2429.252,,,83267.08851,,0.965824666,,35489.71552,,,134383.9513,,444108.665,659649.4087,,,,,,228567.9213,,,,,,,,,,,,,,,,,,,,,,,,,,,1.75196781,2.329844159
2007,33.37,,10.6,7.71,3.65,,,,,3.173796936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2469.1466,,,91453.33868,,1.019316493,,36336.54556,,,133233.666,,423020.8283,615392.0226,,,,,,230649.6339,,,,,,,,,,,,,,,,,,,,,,,,,,,1.849190924,2.177591483
2008,32.34,,9.68,7.34,3.09,,,,,3.026471054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2509.0412,,,96837.05131,,1.040118871,,37106.568,,,130925.334,,388948.5699,553293.2318,,,,,,224603.9079,,,,,,,,,,,,,,,,,,,,,,,,,,,1.966704194,2.0344426
2009,33.12,,9.63,6.83,3.09,,,,,3.05360309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2548.9358,,,88022.19843,,1.013868252,,34060.5605,,,123055.2357,,357800.4462,507586.0268,,,,,,208014.8656,,,,,,,,,,,,,,,,,,,,,,,,,,,1.982171684,2.018151935
2010,33.99,,9.53,6.61,2.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2554.74,,, 89 112 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,34.04,,9.37,6.46,2.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2586.112,,, 88 745 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,34.47,,9.67,6.74,2.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2604.1556,,, 90 108 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,35.71,,9.79,6.74,4.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2622.1992,,, 88 092 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,36.12,,9.95,6.87,4.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2640.2428,,, 89 521 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,37.24,,11.5,8.42,5.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2658.2864,,, 94 806 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
