"v1","v2","v3","v4","v5","v6","v7","v8","v9","v10","v11","v12","v13","v14","v15","v16","v17","v18","v19","v20","v21","v22","v23","v24","v25","v26","v27","v28","v29","v30","v31","v32","v33","v34","v35","v36","v37","v38","v39","v40","v41","v42","v43","v44","v45","v46","v47","v48","v49","v50","v51","v52","v53"
"1965",,,"12.990511839703647","9.3034861441833065","6.5466402172652458","4.0745483062643419","2.8792208906247003","1.3953338424821824",,,,"3.6870256955203402","5.2289378379189646","1.1953274156396416","1.4838870481425179","2.6792144637821593","3013.6829395671298","3013.6829395671298","5336.1474033149125","0.19464217080885673","9096.8978644888448","9096.8978644888448",,,"118173.35941321717","169265.72647464534","370657.4978601273","1269320.9451925179",,,,"67080.992351788955","118917.78362827486","270806.00371208391",,,"55567.549214966268","85334.039831876507","190819.37434168614","499696.52744404139","1.9290679972112281","2.0763474826403314","1770.6399",,,"6.108406","9.380565","13.805868","20.97631","28.02754","54.93043",
"1966",,,"10.855704022091921","7.5415918110091287","5.1297924170925944","2.9744094592863153","1.9392693896738431","0.71095190551223908","0.45997465644965191",,,"3.3141122110827919","4.5671823517228134","1.0351400696124722","1.228317484161604","2.2634575537740762","3125.6572118708882","3125.6572118708882","5602.739303751423","0.19617085178490737","9137.4410838604945","9137.4410838604945",,,"99193.355925692333","137821.70170324136","271784.91193506058","649628.1150076437",,,,"60565.010148143287","104330.89914528656","229802.33381588469",,,"50678.583522565335","74059.620149907743","173231.82268610908","391979.96386881528","2.1075362796765162","1.9029049597292425","1792.4996",,,"5.546256","8.105072","12.487862","18.95846","24.24148","42.89822","54.85237"
"1967",,,"10.719979139633359","7.4112831541676378","5.017618076971937","2.8962109859533203","1.8855529505748678","0.69507278061684752","0.44627984913610214",,,"3.3086959854657216","4.5150721682143171","1.0106580353784524","1.1904801699580203","2.2011382053364725","3231.6164992168992","3231.6164992168992","5868.6361365498815","0.20473122910076821","8870.1971577123222","8870.1971577123222",,,"95088.328495111215","131479.08553819798","256899.62455738345","616543.26030307601",,,,"58697.571452024429","100123.95078340161","216939.22058563976",,,"49914.252021715387","71574.429308226201","158418.82587161777","380737.46187292738","2.1390687656476692","1.8779101228637454",,,,"5.627186","8.069091","12.343009","17.85967","23.25474","42.92322","55.88950"
"1968",,,"11.697038985969442","8.170453079348114","5.5831567811721792","3.2846259908153446","2.165777416400843","0.81884846251634802",,,,"3.5265859066213281","4.8858270885327695","1.1188485744145016","1.3469289538844951","2.4657775282989967","3329.4960211828943","3329.4960211828943","6055.9018499264275","0.20452732535020332","8893.0142562876936","8893.0142562876936",,,"104021.9344585792","145319.91142994494","292102.25762893952","728203.10508971428",,,,"62723.957487213462","108624.32488019629","243646.60791107567",,,"52646.87769132742","78610.809870900834","180721.9395970256","428393.39090082585","2.0732065013900169","1.9317871245699687",,,,"5.920026","8.839614","12.894959","20.32179","26.35103","48.17190",
"1969",,,"11.278093281219364","7.8873240494452199","5.3962850349817311","3.1650560307803532","2.0727521068899781","0.76238348407116774",,,,"3.3907692317741445","4.7222680186648667","1.0923039238903751","1.3103686228188103","2.4026725467091854","3428.6161010728551","3428.6161010728551","6872.2900693825322","0.20422166832354269","9814.7852633611474","9814.7852633611474",,,"110692.06373532419","154824.78369569784","310643.45288615336","748263.0184491626",,,,"66559.343774950539","115870.11639808393","262019.05671248568",,,"55922.651947264647","82847.352311120587","193100.81076136805","458065.49617361871","2.0657544462267392","1.9383024425002024",,,,"5.697797","8.441076","12.377539","19.67448","25.51718","46.67096",
"1970",,,"10.988479056154878","7.694956907292581","5.2667025599251964","3.0881608812002508","2.0229417032652228","0.75352208626238859",,,,"3.293522148862297","4.6067960260923302","1.065219177935028","1.2694196170028342","2.3346387949378622","3622.9753698768604","3622.9753698768604","7484.2074957026416","0.20717727745142339","9970.9908189023336","9970.9908189023336",,,"109566.02378262086","153452.68934892683","307920.23793741042","751336.18039624079",,,,"65679.358216314897","114835.80220180594","258651.79988642925",,,"55098.471791290984","82418.295206672497","190190.97230683267","458655.56699339848","2.0576409448863053","1.9455004600899772",,,,"5.525877","8.265808","12.104133","19.07443","24.86190","45.99900",
"1971",,,"11.511784575702478","7.9799427440913853","5.4142941090042829","3.1521476813306655","2.0555788913332735","0.75878420426572524",,,,"3.5318418316110929","4.8277950627607193","1.0965687899973919","1.2967946870675484","2.3933634770649403","3758.097329279452","3758.097329279452","7693.9647147819269","0.21217033529145954","9649.3376620035542","9649.3376620035542",,,"111081.09646319751","154002.32412238599","304161.37337661168","732176.49995546602",,,,"68159.868804009064","116462.56180882956","256604.13709007233",,,"57372.817558276205","84513.655593092029","189902.68496437604","443697.37736468471","2.1216161259369093","1.8915706335486921",,,,"5.945778","8.758493","12.568590","19.68039","25.40855","45.98216",
"1972",,,"11.506425500911048","7.9599753124014798","5.4088852499421147","3.1683063671292908","2.0800845830908985","0.7862313028384349",,,,"3.5464501885095681","4.791668945272189","1.0882217840383923","1.2938532802524636","2.3820750642908557","3890.4923147539557","3890.4923147539557","8428.9733080168644","0.21787725350203341","9943.933808300646","9943.933808300646",,,"114419.13355120205","158306.93524445515","315054.28799151152","781823.20334393764",,,,"70531.331857948986","119120.09705769103","263191.07517457526",,,"59301.272187028386","85984.921750940266","190857.6502416296","468463.33096505434","2.1349450286152409","1.8810999429814774",,,,"5.963563","8.646972","12.474713","19.19337","25.15028","47.11046",
"1973",,,"10.685698044098764","7.4426539734857764","5.0799629781982727","2.9918772670457474","1.9815838391814595",,,,,"3.2430440706129877","4.4507767064400294","1.0102934278642879",,,"4024.9675676052561","4024.9675676052561","10816.978165180066","0.24253886805241751","11080.573055589961","11080.573055589961",,,"118403.65782761111","164937.74216137209","331517.1463085924",,,,,"71869.573493850112","123292.89112456705",,,,"59976.023775047513","91082.959282530734","195760.58306080065",,"2.0911406370273347","1.9164721448963398",,,,"5.412719","8.220059","12.161921","17.66701","23.43327",,
"1974",,"20.203157844274607","9.2908646671677317","6.5244825039954488","4.4771452482149501","2.6511849333887509","1.7456564417956995",,,,"10.912293177106875","2.7663821631722829","3.8732975706066979","0.90552849159305149",,,"4161.5276690538494","4161.5276690538494","12948.458324875297","0.27871607184816988","11163.574225124126","11163.574225124126",,"45107.890435291665","103719.25732751013","145673.08942775382","295966.99788416084",,,,"30455.048712237043","61765.425227266453","108099.61231365208",,,"20650.203993553954","51339.274445216717","78578.115305664673","175401.77754211507",,"2.0406055689473579","1.9609789048232433",,,"1.8497842695469109","4.598821","7.038795","10.866288","15.71197","20.76726",,
"1975",,"22.900313104249108","10.403738472999569","7.2336983861122715","4.9079986245825262","2.858368331003577","1.8689462784832143",,,,"12.496574631249539","3.1700400868872975","4.3753300551086944","0.98942205252036275",,,"4303.7993773684993","4303.7993773684993","12693.9200586602","0.29593818346136463","9966.5015102477446","9966.5015102477446",,"45647.201027728988","103688.87520337275","144189.33177972925","284879.32287791476",,,,"31136.782483818046","63188.418627016275","109016.83400518289",,,"22223.874136831266","53460.565833222965","79772.094029377215","172897.90847921031",,"2.1021505962524594","1.907317024914932",,,"2.2298570981984258","5.364025","8.004022","11.988606","17.34790","22.94268",,
"1976",,,,,,,,,,,,,,,,,"4447.5686195942299","4447.5686195942299","15829.361599999973","0.30347904338002712","11727.678081259561","11727.678081259561",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1977",,,,,,,,,,,,,,,,,"4597.6781110931324","4597.6781110931324","18177.099599999969","0.31784809263443281","12438.454296742993","12438.454296742993",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1978",,,,,,,,,,,,,,,,,"4745.6663560858015","4745.6663560858015","21124.18059999996","0.33017850384093989","13481.365234010949","13481.365234010949",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1979",,,,,,,,,,,,,,,,,"4900.6191903213021","4900.6191903213021","25831.030366666615","0.34515926208766379","15271.132375310921","15271.132375310921",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1980",,,,,,,,,,,,,,,,,"5060.735663736581","5060.735663736581","29857.589999999938","0.36849570311793944","16010.639114844089","16010.639114844089",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1981",,,,,,,,,,,,,,,,,"5216.5607239415394","5216.5607239415394","32227.845899999927","0.39882820560325344","15490.347003506518","15490.347003506518",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1982",,,,,,,,,,,,,,,,,"5367.1098689710489","5367.1098689710489","34526.312333333262","0.42535543651152274","15123.68841599738","15123.68841599738",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1983",,"17.961106541767691","7.8702124869843377","5.4171725525013237","3.7048165892417848","2.2363386215435956","1.5019923555510357",,,,"10.090894054783353","2.4530399344830141","3.180833930957728","0.73434626599255992",,,"5522.0145954786658","5522.0145954786658","38091.136049999921","0.44255260460912788","15586.961912032615","15586.961912032615",,"55991.816712898559","122672.70227422836","168874.52449349326","348577.24916407547",,,,"39321.595322566121","76470.880054963447","123948.84332584772",,,"27891.418180234305","65198.295934953036","89985.619377521347","192732.81100949354",,"2.1685507920334626","1.855760833690286",,,"1.789406963181392","4.182874","5.773134"," 7.812623","12.36500","17.49977",,
"1984","26.925575073705396","19.268332656360663","8.3508099593461296","5.6951527484760067","3.8621345718834768","2.3095984533003353","1.5676422368674805",,,"7.6572424173447331","10.917522697014533","2.6556572108701229","3.3855542951756714","0.74195621643285481",,,"5666.30820900046","5666.30820900046","42689.268266666571","0.45590807591504739","16524.991007127981","16524.991007127981","44494.488595473093","63681.804773742064","137997.05948042957","188224.69590557244","381660.93670864735",,"13417.26905286741","25307.172417204129","45102.991097070197","87769.423055286708","139865.63570480372",,"20131.656425914192","31597.328548506241","76579.208744124364","104443.1003865547","214777.10658801757",,"2.2330480249820721","1.8109984199638449",,"1.2182552121953043","1.9120935397106646","4.634145","6.320312"," 8.693986","12.99711","17.61763",,
"1985","29.539580002808201","21.048340697633517","9.079259202183346","6.1815494857974826","4.1859148856409059","2.4804282914226166","1.670575068118709",,,"8.4912393051746839","11.969081495450171","2.8977097163858634","3.7011211943748661","0.80985322330390752",,,"5808.4224029126926","5808.4224029126926","41312.184833333231","0.45792058201536373","15532.086759399883","15532.086759399883","45881.131943985078","65384.93077141024","141019.8416393915","192024.72584186046","385262.27422846097",,"12159.970627779303","26377.333116559912","46476.203054414938","90014.957436922516","143715.33874521035",,"20896.023856008323","32571.071612210621","78170.48613940127","106898.9764206593","221033.85601818614",,"2.2452035053371486","1.8030815812145038",,"1.3453455533502112","2.0970183927474455","5.032839","6.882461"," 9.507900","14.23079","19.30726",,
"1986","32.010813296552847","22.646316709240999","9.6575687067876839","6.5556613417719021","4.4240732978541537","2.6168998488545188","1.7481810484389686",,,"9.364496587311848","12.988748002453315","3.1019073650157818","3.9387614929173833","0.86871880041555016",,,"5958.9864405566068","5958.9864405566068","38264.3777999999","0.46468938093086304","13818.455698484166","13818.455698484166","44234.00054108633","62587.424836097685","133452.68532981264","181178.23165108057","361615.14628766075",,"10438.950715972813","25880.576246074983","44871.109712668949","85727.139008544662","136069.00299193556",,"20591.103872973526","31801.349269989405","74121.759075426904","101395.58879279814","210016.5249005075",,"2.2671557782212295","1.7891689539574609",,"1.4901161404911762","2.3013678202462158","5.363968","7.337693","10.152652","15.19826","20.62237",,
"1987",,,,,,,,,,,,,,,,,"6105.5365485193288","6105.5365485193288","43479.48359999989","0.46743356348847714","15234.936517726828","15234.936517726828",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1988","26.340344418304262","18.600284920119616","7.9027486902726656","5.3712609020130158","3.616432565740316","2.1184367335534442","1.4028782886696889",,,"7.740059498184646","10.69753622984695","2.5314877882596498","3.2528241684595716","0.71555844488375531",,,"6252.7851743342499","6252.7851743342499","49747.20093333321","0.47731317532760958","16668.315776853735","16668.315776853735","43904.917843538213","62007.084517600888","131725.51067458207","179059.74566924234","353107.72428155364",,"13642.026658333238","25802.751169475545","44577.477978355586","84391.275679921775","135547.75101616452",,"20590.803330768114","31429.208751810798","73462.081700311042","100525.28123988063","208316.20316024739",,"2.2578140544783052","1.7950300733559246",,"1.235325968527744","1.8855659547471861","4.407289","6.030920"," 8.482587","12.49774","16.75512",,
"1989",,,,,,,,,,,,,,,,,"7782.134764380171","7782.134764380171","68041.049999999814","0.49048533122458199","17825.685340410928","17825.685340410928",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1990",,,,,,,,,,,,,,,,,"7987.0559999999996","7987.0559999999996","77911.61666666645","0.50376834749209221","19363.533444531811","19363.533444531811",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1991",,,,,,,,,,,,,,,,,"8208.4540188065585","8208.4540188065585","87474.193333333082","0.52384827338454576","20342.90915402168","20342.90915402168",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1992",,,,,,,,,,,,,,,,,"8852.9663916100289","8852.9663916100289","97019.679999999717","0.54819591595119743","19991.032564659301","19991.032564659301",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1993","27.605127430546204","19.956508839707428","9.1885293245690871","6.6263257025435944","4.7576023935766916","3.1335641076701104",,,,"7.648618590838776","10.767979515138341","2.5622036220254927","3.492761594873484",,,,"8737.1473072358294","8737.1473072358294","110770.47666666632","0.56978235110709441","22250.786863321813","22250.786863321813","61423.580679192208","88809.604945665531","204452.0075883691","294881.92178849736","697242.67082322831",,"17898.25421711399","34037.556412718885","59899.004284989642","114022.0933882408","194291.73452981468",,"28853.882724212668","42418.196208229492","97869.090099113004","139138.65907030931","314951.49984933791",,"1.8925946871815851","2.120329321203505",,"1.296757858562539","1.9063683666015256","4.398455","6.253202"," 8.890060","14.15462",,,
"1994","27.024948315203925","19.460848290152931","8.9742937656763466","6.4358177923897388","4.6156064826664869","2.9782569130089902",,,,"7.564100025050994","10.486554524476585","2.5384759732866078","3.4575608793807486",,,,"9016.2058614305861","9016.2058614305861","126136.75666666628","0.59651744464527789","23452.799565507492","23452.799565507492","63381.069610467697","91282.274864741164","210472.31292839078","301875.88945008692","698484.62435386935",,"19016.325116067466","35479.86435619423","61484.765348828769","119068.7364066947","202723.7057241413",,"29677.686122876767","43352.032783792303","101066.27259505092","144870.93942482804","334371.96711588406",,"1.9218754861287528","2.0847451906974084",,"1.2654218972870233","1.8484800785809392","4.309348","6.177128"," 8.806649","14.25723",,,
"1995","26.950140093695097","19.416633624938424","8.883567638321141","6.3234733282883724","4.4894308233046472","2.8441193367688573",,,,"7.5335064687566735","10.533065986617283","2.5600943100327687","3.4793539915195151",,,,"9304.1137102257271","9304.1137102257271","143164.12499999956","0.6207993628558518","24786.084803081783","24786.084803081783","66798.845781726108","96252.465523618594","220188.86083734076","313468.29232996283","704945.83071237616",,"20118.00024989908","37345.226039833615","65268.366695188066","126909.42934471871","215598.9077343595",,"31380.946494777159","47238.326869384851","107612.00710971109","154421.25494948009","350019.37392560113",,"1.9624079788437512","2.0390603797792828",,"1.2660711340290178","1.90584060551231","4.341630","6.230159"," 8.931969","14.12161",,,
"1996",,,,,,,,,,,,,,,,,"9600.1536919181654","9600.1536919181654","162900.20666666614","0.64180180298237677","26438.847305288124","26438.847305288124",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1997",,,,,,,,,,,,,,,,,"9906.4204347123905","9906.4204347123905","179132.82833333273","0.66130406913691808","27343.696958872235","27343.696958872235",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1998",,,,,,,,,,,,,,,,,"10218.684226324884","10218.684226324884","179508.40999999939","0.69010868233167644","25454.954779326203","25454.954779326203",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1999",,,,,,,,,,,,,,,,,"10544.655620961168","10544.655620961168","187051.79666666602","0.71621266561229102","24767.803104349932","24767.803104349932",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2000","22.525386129439806","16.707216862513565","8.1847731333221176","5.9912223204194435","4.3610442193330927",,,,,"5.8181692669262404","8.5224437291914477","2.1935508129026742",,,,,"10867.477000000001","10867.477000000001","218327.99999999921","0.7262581717126072","27662.388389940967","27662.388389940967","62310.597974595301","92432.304353164232","226410.37329751046","331463.03751585196",,,"23812.587324979373","32188.891596026355","58937.787117077678","121357.70907916901",,,"27169.277383140445","40894.129133281356","100822.09740264938","150354.77420836268",,,"1.8184861959245193","2.2217677035718997",,"0.98217395404007002","1.478329656746195","3.644736","5.435350"," 8.088965",,,,
"2001","23.41804858941293","17.076512738265006","7.9574187557970832","5.6685603372999598","4.0110099873437299",,,,,"6.3415358511479241","9.1190939824679234","2.2888584184971235",,,,,"11406.494825735865","11406.494825735865","217425.7399999992","0.73603325802078623","25897.706844464206","25897.706844464206","60647.37572380346","88448.504164269179","206078.89817627397","293605.42769110302",,,"22036.632524537617","32846.247283337747","59040.905661267971","118552.36866144494",,,"27964.58124659766","40877.605958121043","99712.589733824643","145213.9534911043",,,"1.9581663086126635","2.0436601569177566",,"1.0798091666782172","1.5784256962835643","3.850248","5.607213"," 8.109835",,,,
"2002","24.690194174263031","18.102084917896235","8.9324515315634532","6.6670229773236827","5.0143053611226636",,,,,"6.5881092563667956","9.1696333863327819","2.2654285542397705",,,,,"11834.162042654272","11834.162042654272","237574.1599999991","0.74617061952101216","26904.414546140502","26904.414546140502","66427.521928907576","97405.199356103622","240322.37891849075","358744.69994112052",,,"22512.958170277496","35449.844501711537","61675.904465506821","121900.05789586104",,,"30502.531884062188","42679.45564928191","102556.15123825328","148339.6893131423",,,"1.7301441603918948","2.3695925465777385",,"1.1337370613194719","1.5863365313557576","3.811871","5.513582"," 8.159330",,,,
"2003","27.170877935713158","19.82706013153469","9.4818110974610192","6.888899187683033","4.9914458051228188",,,,,"7.3438178041784674","10.345249034073671","2.5929119097779862",,,,,"12265.531958862639","12265.531958862639","262173.50666666566","0.75666985991866231","28248.538222450505","28248.538222450505","76753.758390453004","112017.09319289646","267847.30320468295","389202.66402774479",,,"22859.06931489467","41490.423588009588","73059.540689949819","146491.94238162116",,,"34739.873510979342","50347.861743966518","123598.91394684602","178930.78171040007",,,"1.8549062136933736","2.1697189516026452",,"1.2297936706462869","1.7823174193117219","4.375409","6.334161"," 9.367599",,,,
"2004",,,,,,,,,,,,,,,,,"12697.795611773819","12697.795611773819","296766.35999999882","0.76825513330320827","30421.517003459678","30421.517003459678",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2005","24.734457391949096","18.496237160764192","9.4549463530668181","7.1446915964297206",,,,,,"6.2382202311849042","9.0412908076973739","2.3102547566370975",,,,,"13131.658246191582","13131.658246191582","328181.14166666538","0.79106380027112511","31592.394114939685","31592.394114939685","78142.072614563891","116868.08280525106","298704.39152169856","451435.82548821066",,,"26420.207614981442","39416.062423876734","71409.005626139202","145972.9575551865",,,"32679.688517337177","48384.113717146531","122610.4940008358","180360.69165455663",,,"1.6784086295866876","2.4740378532761857",,"1.0344163344646085","1.5315114625727662","3.881013","5.708991",,,,,
"2006",,,,,,,,,,,,,,,,,"13419.568984043375","13419.568984043375","365859.20666666515","0.81719708224130139","33361.733882623819","33361.733882623819",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2007",,,,,,,,,,,,,,,,,"13707.355781467853","13707.355781467853","411382.57499999827","0.84016095390872125","35721.502112777591","35721.502112777591",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2008",,,,,,,,,,,,,,,,,"13997.138879111797","13997.138879111797","470032.82666666468","0.86827189968368734","38675.253775197547","38675.253775197547",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2009","24.908616001654643","18.681602976450311","9.4130043462750148","6.9550689393356304",,,,,,"6.2270130252043323","9.2685986301752958","2.4579354069393844",,,,,"14286.089787367671","14286.089787367671","433552.52999999817","0.88965205603253494","34112.076959408012","34112.076959408012","84968.462600078507","127453.65569155573","321097.1286793754","474503.69383321056",,,"28461.367443777948","42483.269508601261","79042.78744460085","167690.56352554026",,,"33900.958533635188","53696.092673276871","138497.18221698815","210421.36048260538",,,"1.7749077790281738","2.2904761405984577",,"0.99381103572133567","1.5741079834327603","4.060063","6.168530",,,,,
"2010","24.634018966140143","18.526018831724411","9.4252681514916397","7.0063022442886869",,,,,,"6.1080001344157324","9.1007506802327711","2.4189659072029528",,,,,"14538.754000000001","14538.754000000001","480643.14999999793","0.90548920876638039","36510.038429386201","36510.038429386201","89938.897912400513","135277.13189795811","344116.90241822961","511600.72837374947",,,"30573.498486829052","44600.663926842899","83067.189267890266","176633.07646270972",,,"35769.974199983742","56373.028088986335","146338.92784374772","220564.34831512853",,,"1.7478863979947279","2.3371014671228845",,"0.97972984249704875","1.5440418721557085","4.008183","6.041197",,,,,
"2011","21.276763171581198","16.813936657629149","8.9485153030866993",,,,,,,"4.4628265139520487","7.8654213545424501",,,,,,"15046.722032016523","15046.722032016523","538333.31982125645","0.93086308178942612","38434.705399347564","38434.705399347564","81776.612435141113","129247.74040785342","343933.54943569069",,,,"33618.937950926054","34305.484462428853","75576.288150894077",,,,"36963.96712375377","58677.182874676037","154124.5998232445",,,,,,,"0.96173410826719219","1.5266718520411007","4.010037",,,,,,
"2012","22.319018361686364","17.576166394773132","9.1103272756911746",,,,,,,"4.7428519669132321","8.4658391190819575",,,,,,"15275.794687580685","15275.794687580685","564744.62017404824","0.94893809308630817","38959.233966626372","38959.233966626372","86953.185825836918","136950.79576206446","354931.3718461903",,,,"33626.572648936308","36955.575889609339","82455.651741033027",,,,"40306.826374598146","63064.328492310902","161988.21972153155",,,,,,,"1.0345898076211191","1.6187260906190728","4.157890",,,,,,
