"v1","v2","v3","v4","v5","v6","v7","v8","v9","v10","v11","v12","v13","v14","v15","v16","v17","v18","v19","v20","v21","v22","v23","v24","v25","v26","v27","v28","v29","v30","v31","v32","v33","v34","v35","v36","v37","v38","v39","v40","v41","v42","v43","v44","v45","v46","v47","v48","v49","v50","v51","v52","v53","v54","v55","v56","v57","v58","v59","v60","v61","v62","v63","v64","v65","v66","v67","v68","v69","v70","v71","v72","v73","v74","v75","v76","v77","v78","v79","v80","v81","v82","v83","v84","v85","v86","v87","v88","v89","v90","v91","v92","v93","v94","v95","v96","v97","v98","v99","v100","v101","v102","v103","v104","v105","v106","v107","v108","v109","v110","v111","v112","v113","v114","v115","v116","v117","v118","v119","v120","v121","v122","v123","v124","v125","v126","v127","v128","v129","v130","v131","v132","v133","v134","v135","v136","v137","v138","v139","v140","v141","v142","v143"
"1981","29.87","20.02","8.3970000000000002","5.85","2.58",,"0.84","9.8500000000000014","11.622999999999999","2.5470000000000006","3.2699999999999996",,,"1.7400000000000002",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4699.17","3180.53","2790.08","120345.79446576508",,"0.57454629813162117","65857.674476674612",,"44574.320444524863","196716.87366182703","263694.1286046051","553006.89258063678","770534.79137709294","1699128.0014982051","5532044.6560406676","51317.763456102119","129739.618719049","191365.93761059723","335478.99378418055","538386.48884681496","1273248.3732157091",,,,,,,,,,,,,,,,,,,,,,,,,"2.0513007642894507","1.9512025806200914",
"1982",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4765.6400000000003","3234.26",,"127786.87445789836",,"0.6087398711016434","64905.211616925633",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1983","29.88","20","8.3859999999999992","5.85","2.621",,"0.86","9.879999999999999","11.614000000000001","2.5359999999999996","3.2289999999999996",,,"1.7610000000000001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4832.1099999999997","3287.99","2904.4630000000002","133997.35040148295",,"0.62865088039978667","64827.040390144095",,"44111.301384362087","193703.19668575053","259308.16156057635","543639.56071174832","758476.37256468588","1699116.7286256768","5575125.4735523919","50507.467468410046","128098.23181092471","188225.3117727834","328802.74885881081","523316.28354943811","1268449.0903004862",,,,,,,,,,,,,,,,,,,,,,,,,"2.0205605661067265","1.9798536541685501",
"1984",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4898.58","3341.72",,"141945.90835739553",,"0.64624303044876974","65728.988358680421",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1985","30.35","20.64","9.0510000000000002","6.48","3.16",,"1.25","9.7100000000000009","11.589","2.5709999999999997","3.3200000000000003",,,"1.9100000000000001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4965.05","3395.45","3106.1489999999999","144505.40092346643",,"0.66801799659999395","63708.675613952299",,"43568.468114801319","193355.83048834524","262989.41293439508","576627.22298188228","825664.43595682189","2013194.1494008927","7963584.4517440367","49303.43618346419","123722.24804229537","184579.96042252329","327590.01000694267","528782.00759580405","1352039.6713627656",,,,,,,,,,,,,,,,,,,,,,,,,"1.8416527864833745","2.188138405836257",
"1986",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5031.5200000000004","3449.18",,"152109.8370952821",,"0.67291905558086917","65535.801514217485",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1987","30.78","20.93","9.07","6.41","2.9379999999999997",,"0.96","9.8500000000000014","11.86","2.66","3.4720000000000004",,,"1.9779999999999998",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5097.99","3502.91","3112.5369999999998","155843.82456773325",,"0.68403604720204103","65040.164325274651",,"44690.131211839922","200193.62579319539","272258.1278655997","589914.29043024115","833814.90665002109","1910880.027876569","6243855.7752263658","50023.113051061235","128129.12372079106","192844.08722443934","346013.67421046115","564548.62634338404","1429438.2781710362",,,,,,,,,,,,,,,,,,,,,,,,,"1.9590768269450205","2.0426693377477729",
"1988",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5164.46","3556.64",,"165623.12729038112",,"0.69601941072328366","66905.176502281189",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1989","30.78","20.96","9.218","6.59","3.1530000000000005",,"1.1499999999999999","9.82","11.742000000000001","2.6280000000000001","3.4369999999999994",,,"2.0030000000000006",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5230.93","3610.37","3227.0819999999999","175273.58850868134",,"0.72139519222277027","67296.35205371023",,"46447.71208258452","207138.1716213201","282106.30780915328","620337.77323110087","886965.92006790091","2121853.9802534836","7739080.4861766752","51758.372101753579","132170.03543348689","197548.4414536664","353709.62639430101","578243.90502150508","1497717.7018175735",,,,,,,,,,,,,,,,,,,,,,,,,"1.8723531936888724","2.1463246850411064",
"1990",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5297.4","3664.1",,"189099.3785573951",,"0.75872919188492238","68019.900142335653",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1991","29.99","20.14","8.6009999999999991","6.09","2.8540000000000001",,"1","9.8499999999999979","11.539000000000001","2.5109999999999992","3.2359999999999998",,,"1.8540000000000001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5321.6304","3684.9039499999999","3272.5659999999998","201677.01148844662",,"0.80038316415064614","68380.501301669472",,"47349.319740337851","205073.12340370673","275436.6592431246","588140.69169565907","832874.5058543341","1951579.5071496468","6838050.1301669469","53192.432179220887","134709.58756428881","197260.65112999102","343406.87753698399","553198.25553050602","1408638.3268143912",,,,,,,,,,,,,,,,,,,,,,,,,"1.9197357665401842","2.0872687965172321",
"1992",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5345.8607999999995","3705.7078999999994",,"205883.30661286312",,"0.8328842258942506","66706.063771164787",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1993","29.65","19.87","8.4190000000000005","6.01","2.8220000000000001",,"0.98","9.7799999999999976","11.451000000000001","2.4090000000000007","3.1879999999999997",,,"1.8420000000000001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5370.0911999999998","3737","3393.1959999999999","210502.83794015821",,"0.85716504132478233","65715.891963097078",,"45731.120593649095","194847.61967058282","261154.95466134779","553262.09443731431","789905.02139642683","1854502.4711985998","6440157.4123835126","51367.922217820873","128540.28467981785","188128.16971735616","316619.16747820179","523755.65894588374","1344985.2555113868",,,,,,,,,,,,,,,,,,,,,,,,,"1.9036867753592008","2.1065781056744095",
"1994",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5394.3215999999993","3747.3157999999994",,"214837.97171785226",,"0.8677343213173081","66069.949366781773",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1995","29.936079999999997","19.991049999999998","8.4819899999999997","5.9946999999999999","2.8146599999999999",,"1.0120400000000001","9.9450299999999991","11.509059999999998","2.4872899999999998","3.18004",,,"1.8026199999999999",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5418.5520000000006","3747.8445000000002","3326.1425906524273","220274.52946690336",,"0.88421285816582262","66470.032730384672",,"45975.261764285395","198985.22174194138","265761.14956295129","563798.15291879547","796935.81041767402","1870905.4232490452","6727033.19244585","51746.122840211698","132209.29392093146","191251.89872399022","330660.49541991693","528443.40720983117","1331335.6711160669","118515.58030650967","147811.69352265797","284700.67775557068","390234.99467736785","826224.13059615716","3116639.8164763972",,,,,,,,,,,,,,,,,,,"1.9196504018787608","2.0873697200121835","104793"
"1996","30.46359","20.47017","8.8495599999999985","6.3311700000000002","3.05437",,"1.12541","9.9934200000000004","11.620610000000001","2.5183899999999984","3.2768000000000002",,,"1.92896",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5587.4889999999996","3919.5259999999998","3488.0729161880645","224462.68811965006",,"0.89138965856499075","64245.545151681552",,"45067.128473307021","195714.99468273143","263023.44619951939","568544.8065525149","813498.93619594339","1962296.6574494159","7230257.8969153939","49637.828537120455","128406.54316594348","186643.10611127055","323590.67690908641","526299.50588257529","1376967.630842085","115027.02439364715","142910.67747530094","277868.49176458234","382905.72110683139","850178.8109366385","3191788.2069444754",,,,,,,,,,,,,,,,,,,"1.8587361724054849","2.1645020113672491","102533.9"
"1997","30.36936","20.430910000000001","8.8641000000000005","6.3580499999999995","3.0974499999999998",,"1.15252","9.9384499999999996","11.56681","2.506050000000001","3.2605999999999997",,,"1.9449299999999998",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5601.6859999999997","3937.9735000000001","3407.4815316397635","230196.14212235613",,"0.8960266076535609","65238.556848607965",,"45862.568528129159","198125.3218815841","266576.61670075858","578281.09176174586","829580.01274258364","2020731.6791072071","7518874.1539157648","50473.360733832844","129674.02706240954","188650.49793551178","326982.17078090808","531792.09615142783","1409826.9596840343","116289.06899636074","144463.79035436848","280289.22116239561","387988.92469319899","875727.5657860667","3276820.1021271665",,,,,,,,,,,,,,,,,,,"1.8403677603806028","2.1899552162104596","104198.1"
"1998","30.905809999999999","20.841919999999998","9.0998800000000006","6.5544199999999995","3.2103699999999997",,"1.1852400000000001","10.063890000000001","11.742039999999998","2.5454600000000012","3.3440499999999997",,,"2.0251299999999999",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5629.6459999999997","3969.3074999999999","3443.9882124740475","234389.52630399019",,"0.89618749547062526","65890.76907927639",,"46457.756648844326","203640.75899179911","274658.02757775044","599598.09172912571","863751.5493371815","2115337.483290365","7809637.5143521549","50585.214644551634","132623.49040584778","193423.01153990658","335444.63412106992","550855.06584888545","1482637.4798390556","118726.94111194233","149640.89621622671","286693.02048794494","399254.17594908626","894175.4979287883","3409455.0698851519",,,,,,,,,,,,,,,,,,,"1.8264192243750115","2.2100396148894781","106401.60000000001"
"1999","31.904019999999999","22.07657","10.246499999999999","7.6021099999999997","3.9897299999999998",,"1.6716499999999999","9.8274499999999989","11.830070000000001","2.6443899999999996","3.6123799999999999",,,"2.3180800000000001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5667.2030000000004","4007.39","3439.7513333333336","239302.70942305896",,"0.90341482990900646","66099.593745508115",,"46740.314574899065","210884.2760848566","291850.46165885439","677289.4873133488","1004992.7652173294","2637195.3215426607","11049538.588467862","50012.406818913834","129918.09051085872","195490.70524523081","349586.20940936834","596942.12613599654","1702490.5141065274","115763.65202078181","151497.51306803909","304663.14132536697","430013.19785632525","973289.2032429477","3904890.5145328641",,,,,,,,,,,,,,,,,,,"1.6938588548929541","2.4412153032972048","104582.6"
"2000","32.31955","22.43553","10.42305","7.7028400000000001","3.9482700000000004",,"1.5561200000000002","9.8840199999999996","12.01248","2.7202099999999998","3.7545699999999997",,,"2.39215",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5707.4110000000001","4039.9369999999999","3449.1079999999997","243960.51551900001",,"0.9174947","65817.500525378069",,"46588.296448248475","212719.19991049828","295330.10151242703","686019.09885104187","1013963.3514938065","2598652.6279933448","10241992.891755132","49495.08948258694","130108.29830856946","197657.8521777734","358074.84620827733","617791.03236892179","1749392.5986864795","116059.74399634133","151766.76224941682","310822.39494135499","434116.40416015481","1011586.0069818387","3989880.2685181722",,,,,,,,,,,,,,,,,,,"1.7288713935236504","2.3719841509564636","106484.2"
"2001","31.872339999999998","21.916599999999999","10.060189999999999","7.4223300000000005","3.8889499999999999",,"1.6707400000000001","9.9557399999999987","11.85641","2.6378599999999981","3.5333800000000006",,,"2.21821",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5780.2960000000003","4090.3895000000002","3458.4646666666663","248862.28524875524",,"0.92656894642134868","65662.388907563174",,"46465.569606195408","209281.3984474082","287819.26254629984","660576.10826397792","974735.83812054677","2553577.4734206777","10970477.96434221","49704.72118091373","130743.53434851658","194630.05111688029","346416.37840740895","580025.42929551401","1618366.3077627302","116398.78545093775","147486.81199365022","298045.60261446412","413445.21795121266","945912.98724729847","3986784.8089095936",,,,,,,,,,,,,,,,,,,"1.7029213616219425","2.4226342441671838","107851.5"
"2002","31.223050000000001","21.16977","9.3280100000000008","6.7435300000000007","3.3416000000000001",,"1.2835799999999999","10.053280000000001","11.841759999999999","2.5844800000000001","3.4019300000000006",,,"2.05802",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5839.4040000000005","4140.4724999999999","3467.8213333333338","253775.06721961661",,"0.932523915651573","65726.282383198384",,"46603.705572498038","205217.50011647222","278282.0562014723","613095.41933329846","886454.31407913961","2196309.4521169574","8436494.1541425791","50227.258190612403","132152.94403147211","194578.71541851581","339736.52458745713","558990.52956968534","1502955.5963363328","117415.32647288231","149111.77897549447","289685.11741733615","404206.14814648504","916951.28205107676","3507254.8222152218",,,,,,,,,,,,,,,,,,,"1.8045152098325923","2.2429845797546641","109492.6"
"2003","31.073269999999997","21.105309999999999","9.3772000000000002","6.8404699999999998","3.5041799999999999",,"1.47898","9.9679599999999979","11.728109999999999","2.5367300000000004","3.33629",,,"2.0251999999999999",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5892.8220000000001","4187.8869999999997","3456.1342537456658","259029.37849985957",,"0.93847639507521163","65906.87428854419",,"46838.43191659759","204794.20996239912","278197.00259815087","618021.94157853664","901667.99272911577","2309495.5074443077","9747494.8935271073","50474.948102560309","131391.41732664735","193240.76785305448","334375.89042795746","549711.11405031779","1483051.1312128855","115639.02999531767","148977.96122916348","285277.07399453968","395770.95593356231","890086.63870875002","3614980.6407524096",,,,,,,,,,,,,,,,,,,"1.7466845334501555","2.3392536676491296","108524.5"
"2004","31.577739999999999","21.532399999999999","9.6427300000000002","7.0486400000000007","3.6377300000000004",,"1.52424","10.045339999999999","11.889669999999999","2.5940899999999996","3.4109100000000003",,,"2.1134900000000005",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5947.7460000000001","4238.8855000000003","3526.2000512946088","262903.21241311973",,"0.94601115037975392","65561.359672179475",,"46724.775549373888","207027.95697745684","282338.68420104741","632190.48975171521","924236.84447942232","2384945.2492027748","9993124.6866722833","49842.84886048198","131717.22975386624","194875.73281338051","340144.13502400805","559059.74329858425","1539591.978372829","115947.78767244802","150079.20355167784","290978.49416415422","403893.12519902119","910752.37290188204","3764958.7941645742",,,,,,,,,,,,,,,,,,,"1.7342129453591379","2.3620026809944807","109687.9"
"2005","31.883299999999998","21.83897","9.8373799999999996","7.1811400000000001","3.6610299999999998",,"1.5102100000000001","10.044329999999999","12.00159","2.6562399999999995","3.5201100000000003",,,"2.1508199999999995",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5997.8940000000002","4289.5495000000001","3520.751690853378","268009.7671652328",,"0.95709807855322226","65280.352866796944",,"46686.93794848532","208135.30745579468","285131.13356947846","642187.63768477086","937574.70637174044","2389933.3025592961","9858704.1702965405","49407.58013468609","131139.4813421109","195867.00754065538","346800.56899780134","574485.05732485151","1560069.8728107128","115343.66484872339","150244.89466886295","296936.23502995714","416805.87281402282","936157.76698080124","3762018.8366095196",,,,,,,,,,,,,,,,,,,"1.7521609050907805","2.3295027609541963","110395.2"
"2006","32.647970000000001","22.521100000000001","10.30184","7.5565599999999993","3.8918300000000001",,"1.6066","10.12687","12.21926","2.7452800000000011","3.6647299999999992",,,"2.2852300000000003",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6055.5379999999996","4347.8244999999997","3549.583989486156","274491.31614752754",,"0.96723853291165451","65271.413006508257",,"46864.316369464657","213097.91336940913","293996.80389217462","672415.6533669671","986454.69733691984","2540252.4328111904","10486505.213625615","48846.246299519262","132199.02284664364","199392.09152347653","358376.60939701414","598005.26346835238","1657335.4571651432","116298.61318839171","152637.94294419914","307542.02802957391","434247.48467745737","992811.66674499144","4039234.2396028675",,,,,,,,,,,,,,,,,,,"1.7323844963977293","2.3654030156544157","112488.5"
"2007","33.252739999999996","23.187849999999997","10.91033","8.1018299999999996","4.2685300000000002",,"1.7815799999999999","10.064889999999998","12.277519999999997","2.8085000000000004","3.8332999999999995",,,"2.4869500000000002",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6143.3779999999997","4427.259","3564.2110747967031","291280.84473617317",,"0.97432201599367918","67526.537269665379",,"48663.368893459177","224544.23869284926","313159.04344568204","736736.80536934827","1094177.0508949861","2882390.5013168473","12030392.826889044","50080.126000422737","135929.43394001646","207264.60296476548","379296.55984371051","647123.68828952056","1865945.7984754927","119863.96497557707","158736.73945699216","326062.11784714612","452654.45382572693","1103642.3095739386","4576682.9926882498",,,,,,,,,,,,,,,,,,,"1.6879333571757862","2.4536291772583314","116786.1"
"2008","33.634869999999999","23.437760000000001","10.960880000000001","8.1061099999999993","4.2453200000000004",,"1.7975100000000002","10.197109999999999","12.47688","2.854770000000002","3.8607899999999988",,,"2.4478100000000005",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6250.7120000000004","4522.32","3678.4179180361443","301315.90256581712",,"0.99795946728805163","66764.847400933126",,"48303.618003547104","224562.69629002234","312963.69396393886","731801.48057994002","1082406.394330356","2834381.4196812944","12001048.085165132","49231.753079923212","136161.6986161058","208254.24730993863","381196.566829524","644412.63799262128","1815862.9012942018","120306.28891799027","159991.56802819745","329898.76923024579","457888.83715064189","1087435.9486253185","4465527.0540298382",,,,,,,,,,,,,,,,,,,"1.7004922677277809","2.4275675065532787","120060.8"
"2009","33.146149999999999","22.900839999999999","10.539850000000001","7.7629100000000006","4.0631500000000003",,"1.7331099999999999","10.24531","12.360989999999997","2.7769400000000006","3.6997600000000004",,,"2.3300400000000003",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6336.7849999999999","4599.5349999999999","3689.0630000000001","307679.71299999999",,"0.99643594398799995","67132.921699738392",,"48728.215176971644","222519.78925977836","307480.05971564737","707570.92477698775","1042293.6583842323","2727711.3080429202","11634873.792703358","49867.714193067281","137559.51880390936","207457.34345031227","372848.19116974314","620939.24596956035","1738026.5875250942","121829.80826057191","161284.12565769046","322840.12027156871","439800.27280637482","1046507.8124606053","4289970.695849848",,,,,,,,,,,,,,,,,,,"1.7064018684089428","2.415624794781956","121395.6"
"2010","33.48471","23.149339999999999","10.627889999999999","7.812520000000001","4.03355",,"1.66151","10.335370000000001","12.52145","2.8153699999999979","3.7789700000000011",,,"2.3720400000000001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6415.3530000000001","4671.5029999999997","3736.9279999999999","313251.36900000001",,"1","67055.799600257131",,"48828.391672289894","224534.4003432726","310459.50078364328","712661.66201357672","1047749.5509860019","2704729.2047761711","11141388.159382323","49558.177295477624","138609.2999029019","209908.96047615987","377573.77304115158","633504.63753845938","1767322.654264377","122752.7","162982.5","328533.40000000002","450519.6","1065256","4285711",,,,,,,,,,,,,,,,,,,"1.7263989359514014","2.3766539989355153","122752.7"
