"v1","v2","v3","v4","v5","v6","v7","v8","v9","v10","v11","v12","v13","v14","v15","v16","v17","v18","v19","v20","v21","v22","v23","v24","v25","v26","v27","v28","v29","v30","v31","v32","v33","v34","v35","v36","v37","v38","v39","v40","v41","v42","v43","v44","v45","v46"
,"10101103","10101104","10101108","10101105","10101106","10101107","10101110","10101203","10101204","10101205","10101206","10101207","50102002","50103003","50104004","10302002","40101001","10401001","10401003","10402103","10402304","10402109","10402105","10402106","10402107","10402203","10402204","10402205","10402206","10402207","10402303","10402304","10402305","10402306","10402307","10501001","10501002",,,,,,,,
"Tanzania",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sources:","Income: Atkinson, Anthony B. (2015). Top Incomes in East Africa before and after independence. The World Wealth and Income Database WP 2/2015.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Notes:",,,,,,,,,,,,,"Estimate of the population of adults aged 15+","Estimate of the population of single adults aged 15+ and married couples",,,,,,,,,,,,,,,,,,,,,,"The Pareto-Lorenz a coefficients were computed using the top shares estimates (from the top 0.01% share within the top 0.1% share): a=1/[1-log(S0.1%/S0.01%)/log(10)].","The inverted Pareto-Lorenz b coefficients were computed from the Pareto-Lorenz a coefficients using the formula b=a/(a-1). Alternatively they can be computed by using directly the top income shares estimates and the formula: b=1/[log(Skx%/Sx%)/log(k)].",,,,,,,,
"Units","%","%","%","%","%","%","%","%","%","%","%","%","Thousand","Thousand","Thousand","Current million £",,"current £","current £","current £","current £","current £","current £","current £","current £","current £","current £","current £","current £","current £","current £","current £","current £","current £","current £",,,,,,,,,,
"Data/No Data","0","0","1","1","1","1","1","0","0","1","1","1","0","1","0","1","0","1","0","0","0","1","1","1","1","0","0","1","1","1","0","0","1","1","1","1","1",,,,,,,,
"Download/No Downloand","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",,,,,,,,
"Keep decimals","2","2","2","2","2","2","2","2","2","2","2","2","3","3","3","5","7","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","3","3",,,,,,,,
"Show decimals","2","2","2","2","2","2","2","2","2","2","2","2","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2",,,,,,,,
"Category","Top income shares","Top income shares","Top income shares","Top income shares","Top income shares","Top income shares","Top income shares","Top income shares","Top income shares","Top income shares","Top income shares","Top income shares","Population units","Population units","Population units","Income","Price index","Average incomes","Average incomes","Average incomes","Average incomes","Average incomes","Average incomes","Average incomes","Average incomes","Average incomes","Average incomes","Average incomes","Average incomes","Average incomes","Average incomes","Average incomes","Average incomes","Average incomes","Average incomes","Pareto-Lorenz coefficients","Pareto-Lorenz coefficients",,"Percentiles","expressed as ratio to mean",,,,,
"Subcategory","Top income shares","Top income shares","Top income shares","Top income shares","Top income shares","Top income shares","Top income shares","Top income shares","Top income shares","Top income shares","Top income shares","Top income shares","Number of adults","Number of tax units","Number of tax returns","Fiscal income control","Price index","Average income per tax unit","Average income per adult","Fractiles income levels","Fractiles income levels","Fractiles income levels","Fractiles income levels","Fractiles income levels","Fractiles income levels","Fractiles income levels","Fractiles income levels","Fractiles income levels","Fractiles income levels","Fractiles income levels","Fractiles income levels","Fractiles income levels","Fractiles income levels","Fractiles income levels","Fractiles income levels","Pareto-Lorenz coefficient","Inverted Pareto-Lorenz coefficient",,"0.01","5.0000000000000001E-3"," 0.00250"," 0.00100"," 0.00050"," 0.00010","  0.00005"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Variable","Top 1% income share","Top 0.50% income share","Top 0.25% income share","Top 0.1% income share","Top 0.05% income share","Top 0.01% income share","Top 0.005% income share","Top 1-0.5% income share","Top 0.5-0.1% income share","Top 0.1-0.05% income share","Top 0.05-0.01% income share","Top 0.1-0.01% income share","Number of adults","Number of tax units","Number of tax returns","Fiscal income control","Price index","Average income per tax unit","Average income per adult","Top 1% average income","Top 0.50% average income","Top 0.25% average income","Top 0.1% average income","Top 0.05% average income","Top 0.01% average income","Top 1-0.5% average income","Top 0.5-0.1% average income","Top 0.1-0.05% average income","Top 0.05-0.01% average income","Top 0.1-0.01% average income","P99 income threshold","P99.5 income threshold","P99.9 income threshold","P99.95 income threshold","P99.99 income threshold","Pareto-Lorenz coefficient","Inverted Pareto-Lorenz coefficient",,,,,,,,
"Subvariable",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1900",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1901",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1902",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1903",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1904",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1905",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1906",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1907",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1908",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1909",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1910",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1911",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1912",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1913",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1914",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1915",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1916",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1917",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1918",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1919",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1920",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1921",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1922",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1923",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1924",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1925",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1926",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1927",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1928",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1929",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1930",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1931",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1932",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1933",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1934",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1935",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1936",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1937",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1938",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1939",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1940",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1941",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1942",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1943",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1944",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1945",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1946",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1947",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1948",,,,"7.4028129873143698","5.338671529005464",,,,,"2.0641414583089057",,,,"2514.3010660807199",,"55.558337166729643","1","22.096930998535392",,,,,"1635.7944777574726","2359.3651280055833",,,,"912.22382750936208",,,,,"774.1916249395839","1094.7343470693008",,,,,,,,"35.03616","49.54237",,
"1949",,,,"7.8857133674873401","5.8025676024296615",,,,,"2.0831457650576786",,,,"2562.4582636456162",,"62.747947234420373","1","24.487402633886688",,,,,"1931.0063828508494","2841.796183820833",,,,"1020.2165818808659",,,,,"875.23631704223544","1215.0221718536311",,,,,,,,"35.74231","49.61825",,
"1950",,,"12.928639930196168","8.5705054900064521","6.350227027697688",,,,,"2.2202784623087641",,,,"2611.0478187770732",,"70.501456804002061","1","27.001212423992516",,,,"1396.3558124341539","2314.1403931665827","3429.276578308878",,,,"1199.0042080242879",,,,,"1036.1787601662404","1429.045699939285",,,,,,,"20.32853","38.37527","52.92524",,
"1951",,,"13.923757940925249","9.3755752081961994","7.0512986264383599",,,,,"2.3242765817578395",,,,"2676.3373383400631",,"80.604402856237527","1","30.117430154089082",,,,"1677.3912290730375","2823.6823148725825","4247.3398775476317",,,,"1400.024752197533",,,,,"1198.6489055205147","1673.2043712556542",,,,,,,"21.38557","39.79918","55.55601",,
"1952",,,"12.614786767059144","8.4704719968278237","6.3703577886128286",,,,,"2.1001142082149951",,,,"2744.4094324686553",,"97.524934905981681","1","35.535854727862493",,,,"1793.1089199087032","3010.0546235570082","4527.5221788130566",,,,"1492.5870683009605",,,,,"1287.7552508724523","1763.2223702083299",,,,,,,"20.25980","36.23820","49.61812",,
"1953",,,"11.213158875351327","6.9695222285854017","4.8755358061530156",,,,,"2.0939864224323861",,,,"2815.39183656672",,"101.65416617605788","1","36.106578436350759",,,,"1619.4752018085412","2516.4560101030897","3520.7783200820095",,,,"1512.1337001241693",,,,,"1319.3690894470847","1757.7295809502336",,,,,,,"21.76665","36.54096","48.68170",,
"1954",,,"10.613464590735855","6.2502155637455834","4.1148478620267364",,,,,"2.135367701718847",,,,"2889.593853227957",,"110.88862883459197","1","38.375160824320901",,,,"1629.1736422908946","2398.5302744541027","3158.1589694577806",,,,"1638.9015794504251",,,,,"1457.6044435214767","1872.3487202590393",,,,,,,"22.07816","37.98302","48.79064",,
"1955",,,"10.916002990148408","6.4154182359083185","4.2042910112622423",,,,,"2.2111272246460763",,,,"2967.1718917083567",,"115.31708845258683","1","38.864310077496967",,,,"1696.9717000640471","2493.3080359716946","3267.9373903545816",,,,"1718.6786815888081",,,,,"1525.3318627407411","1966.1371881650487",,,,,,,"23.03877","39.24762","50.58979",,
"1956",,,"10.418470390409912","6.0325055651358861","3.902031333180366",,,,,"2.1304742319555201",,,,"3043.538967006456",,"127.57984632484556","1","41.918256249674279",,,,"1746.8964462193869","2528.7211410695222","3271.3269863702549",,,,"1786.1152957687898",,,,,"1585.6889287587337","2043.0281754902926",,,,,,,"22.88510","37.82812","48.73839",,
"1957",,,"10.457422228238617","5.916220975536711","3.7198019036024204","1.2770791825943131","0.81228258711671897",,,"2.1964190719342906","2.4427227210081073","4.6391417929423984",,"3123.3697044733062",,"135.86751350736503","1","43.500298191653357",,,,"1819.6039409776154","2573.5737660356122","3236.2498404117014","5555.3325257205543",,,"1910.8976916595232","2656.4791690844886","2242.2672371817303",,,"1691.1825024840798","2192.3916899924993","3656.2392378187214","2.992458059426085","1.501892622165429",,,,"23.56330","38.87749","50.39946","84.05090","105.99186"
"1958",,,"10.79540452077692","6.1349109618949953","3.8982138756880587","1.3838535446601614","0.89643696897804404",,,"2.2366970862069366","2.5143603310278975","4.7510574172348337",,"3206.8321866918495",,"140.47455653187737","1","43.804773169870842",,,,"1891.5609852385248","2687.3838310316441","3415.2074918431704","6061.9390624160096",,,"1959.5601702201182","2753.52459919996","2312.4332497667147",,,"1731.8384316340766","2236.815709827702","3874.0841826966348","2.8306009872984865","1.5462686882277674",,,,"24.11429","39.53538","51.06329","88.43977","112.53965"
"1959",,,"10.460427636499391","5.8031482819331472","3.6633366327894699","1.3873669210224513","0.89815284488369118",,,"2.1398116491436774","2.2759697117670186","4.415781360910696",,"3293.7096005017129",,"149.28608542342033","1","45.324604634446338",,,,"1896.4589877262836","2630.2540151368639","3320.7856904813334","6288.1857178251739",,,"1939.7223397923956","2578.9356836453726","2223.8171592826075",,,"1820.8744368177879","2313.8616092395155","4061.3485652034374","2.6418148144782254","1.6090820908555412",,,,"23.90955","40.17408","51.05089","89.60582","115.54818"
"1960",,,"11.328839611386519","6.5358730520799213","4.1866089750571218","1.5625466972759172","1.0387347283948807",,,"2.3492640770227995","2.6240622777812046","4.9733263548040041",,"3384.5816096478193",,"157.29249999999999","1","46.473247845947782",,,,"2105.9518842678258","3037.4324823896136","3891.3063306379804","7261.6619933370839",,,"2183.5586341412463","3048.7174149632051","2568.0736478398949",,,"1935.0958366465982","2502.1296724139775","4323.0188328964205","2.6418027444000765","1.6090865686580427",,,,"24.03462","41.63892","53.84022","93.02166","122.44993"
"1961",,,"11.442168147909531","6.559925207863583","4.1491554212239619","1.4885087878749552","0.98908001547212765",,,"2.4107697866396212","2.6606466333490069","5.071416419988628",,"3478.4663880696885",,"164.47499999999999","1","47.28376866429128",,,,"2164.115326894706","3101.7798598367453","3923.7541017868771","7038.2305180644007",,,"2279.8056178866141","3145.1349977174964","2664.3964533670064",,,"2024.6370311860157","2617.731483947523","4243.8976506797644","2.8101529635980302","1.5524395010310654",,,,"23.84807","42.81886","55.36216","89.75379","116.11981"
"1962",,,"11.157064000029271","6.4348570882222988","4.0792150139156869","1.4061273661422253","0.90284033360505356",,,"2.355642074306612","2.6730876477734613","5.0287297220800733",,"3576.3643090779865",,"178.0325","1","49.780303295191452",,,,"2221.608119221276","3203.2913751291853","4061.29121198043","6999.744675822868",,,"2345.2915382779411","3326.6778460198202","2781.4632306076655",,,"2062.4116225078214","2719.407869003056","4501.4884609936853","2.9456316996283798","1.5139718890224714",,,,"22.97963","41.43027","54.62819","90.42710","117.91878"
"1963",,,"10.626317375592476","6.2513793752216023","4.0087081655385362","1.4404207244925482","0.94715849702048505",,,"2.2426712096830661","2.5682874410459879","4.810958650729054",,"3678.2297441817395",,"193.2475","1","52.538180983849863",,,,"2233.149541882824","3284.3610101409881","4212.2047022500083","7567.7084716277632",,,"2356.5173180319684","3373.3287599055684","2808.4335144202355",,,"2061.2722180436663","2745.3149665621881","4700.8744784786841","2.7585179151745196","1.5686606837330728",,,,"20.75659","39.23379","52.25371","89.47539","115.19373"
"1964",,,"9.105729239411362","5.4086350736767441","3.4719493540365818","1.2307085121657704","0.797193940771452",,,"1.9366857196401623","2.2412408418708116","4.177926561510974",,"3784.8568430865939",,"237.74499999999998","1","62.814793229039601",,,,"2287.8979974929789","3397.4229380433603","4361.7956155101092","7730.6700716911828",,,"2433.050260576611","3519.5770014648419","2915.9510343047141",,,"2128.4449532085532","2849.174405321754","4845.1861611591739","2.8005907343113559","1.5553732899677808",,,,"17.51508","33.88445","45.35833","77.13448","102.06762"
"1965",,,,"5.9016456706263511","3.8359235574928388","1.4053144452000537","0.89885495917713087",,,"2.0657221131335124","2.4306091122927853","4.4963312254262977",,"3895.2725238930489",,"241.01750000000001","1","61.874361426994611",,,,,"3651.6055723839286","4746.9064120526964","8695.2933900884527",,,"2556.3047327151598","3759.8096675437578","3091.1958148612039",,,"2200.37007979808","3027.3660129520267","5500.3740972803016","2.6539251431657704","1.6046222854354246",,,,,"35.56190","48.92763","88.89585","117.60829"
"1966",,,,"5.1851913307261333","3.273593655167951","1.0762381785202102","0.66275709308299491",,,"1.9115976755581823","2.1973554766477408","4.1089531522059231",,"4119.9530448720443",,"276.84499999999997","1","67.196154175732374",,,,,"3484.2491609014414","4399.4580792272982","7231.9066573653427",,,"2569.0402425755847","3691.3459346927871","3067.8427724054527",,,"2214.5111013136102","3012.6712080195816","5117.6582731176122","3.153145688708427","1.464436756529863",,,,,"32.95592","44.83398","76.15999"," 94.51515"
"1967",,,,"5.2693700670552479","3.3445659224451991","1.0797513265859762","0.6519954356685409",,,"1.9248041446100488","2.2648145958592227","4.189618740469272",,"4232.7793351789378",,"286.23750000000001","1","67.624007143736335",,,,,"3563.3591905753451","4523.4589966426247","7301.7111422508824",,,"2603.2593845080655","3828.8959602405598","3147.9867515002852",,,"2227.8151037493303","3083.5273601940094","5312.1090245119422","3.2096026564714637","1.4525700569155315",,,,,"32.94415","45.59812","78.55360"," 96.36128"
"1968",,,,"5.13199340032756","3.269387868173629","1.0480681519465487","0.6252462823131385",,,"1.862605532153931","2.2213197162270806","4.0839252483810116",,"4346.6088505579592",,"305.23500000000001","1","70.223710136884762",,,,,"3603.8761696900815","4591.7709195934503","7359.9234105994919",,,"2615.9814197867126","3899.7327968419404","3186.5375873668145",,,"2240.5121238603697","3094.1875606365902","5426.5367912169404","3.2247304848878939","1.4494926494659828",,,,,"31.90535","44.06186","77.27499"," 94.86689"
"1969",,,,"5.1330046761951085","3.2841204407500015","1.0529829809414175","0.63100977302637595",,,"1.8488842354451069","2.231137459808584","4.0800216952536914",,"4466.5255086143761",,"317.05","1","70.983586545855545",,,,,"3643.5908167297671","4662.3729506598193","7474.4508558968055",,,"2624.808682799714","3959.3534743505725","3217.9397012667628",,,"2225.7733595428685","3139.1023860076057","5499.8855864508978","3.2046178085169146","1.4535933603261229",,,,,"31.35617","44.22293","77.48109"," 95.43431"
"1970",,,,"5.130127810700122","3.3461062731123534","1.1339079808937695","0.69503227363214037",,,"1.7840215375877686","2.2121982922185839","3.9962198298063525",,"4590.9694480129983",,"349.13749999999999","1","76.048752655304426",,,,,"3901.3982096603199","5089.3441664456768","8623.2287572865935",,,"2713.4522528749621","4205.8730187354486","3376.7503710351784",,,"2289.5516146314449","3283.8903135545197","6075.6700617953575","2.903182125697668","1.5254357880402121",,,,,"30.10637","43.18138","79.89178"," 98.88115"
"1971",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1972",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1973",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1974",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1975",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1976",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1977",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1978",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1979",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1980",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1981",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1982",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1983",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1984",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1985",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1986",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1987",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1988",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1989",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1990",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1991",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1992",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1993",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1994",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1995",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1996",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1997",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1998",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1999",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2002",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2003",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2005",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2006",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2007",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2008",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
